"","corona_mar"
"1",0.000238957305336959
"2",0.000231134093151264
"3",0.000258294979721618
"4",0.000258294979721617
"5",0.000258294979721633
"6",0.000771968413477635
"7",0.00025829497972158
"8",0.000238957305336986
"9",0.000238957305337021
"10",0.000238957305336998
"11",0.000258294979721654
"12",0.000258294979721633
"13",0.000238957305336965
"14",0.000238957305336981
"15",0.000496027727707925
"16",0.000238957305336974
"17",0.000238957305336985
"18",0.000492864850424584
"19",0.000455847672384071
"20",0.000203895401720707
"21",0.00049620852057049
"22",0.000492864850424624
"23",0.00023657185840737
"24",0.000236571858407397
"25",0.000225849182576762
"26",0.000225849182576756
"27",0.000225849182576727
"28",0.000225849182576753
"29",0.000225849182576741
"30",0.000225849182576733
"31",0.000203895401720725
"32",0.00045584767238406
"33",0.000203895401720697
"34",0.000203895401720711
"35",0.000203895401720714
"36",0.000203895401720685
"37",0.000203895401720706
"38",0.000203895401720701
"39",0.000203895401720683
"40",0.000203895401720716
"41",0.000203895401720731
"42",0.000203895401720717
"43",0.000203895401720684
"44",0.000203895401720717
"45",0.000203895401720698
"46",0.000757249143120505
"47",0.000498059376585101
"48",0.000256192946708231
"49",0.000256192946708274
"50",0.000730842687936251
"51",0.00025619294670825
"52",0.000515633958986366
"53",0.000256192946708301
"54",0.000256192946708275
"55",0.000256192946708259
"56",0.000256192946708259
"57",0.000508260565070384
"58",0.000256192946708242
"59",0.000256192946708297
"60",0.000256192946708266
"61",0.000256192946708235
"62",0.00025619294670824
"63",0.000256192946708245
"64",0.00025619294670828
"65",0.000256192946708276
"66",0.000775215206430828
"67",0.00025619294670827
"68",0.000516171278498822
"69",0.000256192946708284
"70",0.000256192946708246
"71",0.000256192946708273
"72",0.000256192946708281
"73",0.000256192946708289
"74",0.000256192946708276
"75",0.000256192946708268
"76",0.000256192946708273
"77",0.00025619294670824
"78",0.000258294979721632
"79",0.000258294979721612
"80",0.000258294979721593
"81",0.000258294979721602
"82",0.000258294979721629
"83",0.00025829497972163
"84",0.000258294979721629
"85",0.000258294979721624
"86",0.000258294979721632
"87",0.000258294979721636
"88",0.000258294979721618
"89",0.000258294979721628
"90",0.000258294979721615
"91",0.000258294979721611
"92",0.000258294979721654
"93",0.000258294979721599
"94",0.000258294979721624
"95",0.000258294979721619
"96",0.000258294979721618
"97",0.000258294979721585
"98",0.000258294979721621
"99",0.000258294979721598
"100",0.000258294979721604
"101",0.000258294979721635
"102",0.000258294979721651
"103",0.000258294979721623
"104",0.000258294979721638
"105",0.000490261706611471
"106",0.000258294979721598
"107",0.000258294979721636
"108",0.000258294979721605
"109",0.000258294979721598
"110",0.000258294979721621
"111",0.000258294979721665
"112",0.000258294979721593
"113",0.000258294979721623
"114",0.000258294979721623
"115",0.000258294979721631
"116",0.000258294979721634
"117",0.000258294979721629
"118",0.000258294979721589
"119",0.000258294979721625
"120",0.000258294979721633
"121",0.00025829497972163
"122",0.000258294979721602
"123",0.000258294979721611
"124",0.000258294979721638
"125",0.00025829497972163
"126",0.000258294979721625
"127",0.000258294979721631
"128",0.000258294979721605
"129",0.000258294979721621
"130",0.000258294979721629
"131",0.00025829497972164
"132",0.000258294979721629
"133",0.000258294979721648
"134",0.000777483597153011
"135",0.00025829497972163
"136",0.000258294979721616
"137",0.000258294979721616
"138",0.000258294979721655
"139",0.000258294979721597
"140",0.00025829497972161
"141",0.000258294979721622
"142",0.000258294979721667
"143",0.000258294979721643
"144",0.000258294979721617
"145",0.000258294979721605
"146",0.00025829497972161
"147",0.000258294979721619
"148",0.000258294979721625
"149",0.000502972623078762
"150",0.000258294979721641
"151",0.000258294979721619
"152",0.000258294979721621
"153",0.00051563395898634
"154",0.000258294979721624
"155",0.00077748359715304
"156",0.000258294979721622
"157",0.000258294979721599
"158",0.000258294979721651
"159",0.000258294979721643
"160",0.000518501069326607
"161",0.000258294979721606
"162",0.000258294979721661
"163",0.000258294979721628
"164",0.000777483597153034
"165",0.000518501069326636
"166",0.000258294979721601
"167",0.000258294979721605
"168",0.000518501069326653
"169",0.000492864850424607
"170",0.00025829497972163
"171",0.000258294979721662
"172",0.000777483597153058
"173",0.00025829497972162
"174",0.000258294979721611
"175",0.000777483597153042
"176",0.000258294979721611
"177",0.00051823937111252
"178",0.000258294979721677
"179",0.000518239371112546
"180",0.000518239371112525
"181",0.00077748359715305
"182",0.000258294979721637
"183",0.000518501069326611
"184",0.000258294979721639
"185",0.000258294979721603
"186",0.000258294979721591
"187",0.000258294979721607
"188",0.000258294979721613
"189",0.000258294979721638
"190",0.000258294979721633
"191",0.000258294979721621
"192",0.000258294979721612
"193",0.000258294979721625
"194",0.000258294979721604
"195",0.000258294979721666
"196",0.000258294979721616
"197",0.000258294979721642
"198",0.000258294979721638
"199",0.000258294979721638
"200",0.000258294979721641
"201",0.000258294979721643
"202",0.000258294979721602
"203",0.000258294979721627
"204",0.000258294979721617
"205",0.000258294979721634
"206",0.000258294979721617
"207",0.000491093365432355
"208",0.000233155563009136
"209",0.000233155563009154
"210",0.000515705361982544
"211",0.000258304995923042
"212",0.000258304995923044
"213",0.000258304995923067
"214",0.000258304995923058
"215",0.000258304995923104
"216",0.000515705361982512
"217",0.000258304995923097
"218",0.000244573331778023
"219",0.000244573331778078
"220",0.000244573331778058
"221",0.000244573331778068
"222",0.000244573331778047
"223",0.000244573331778044
"224",0.000244573331778048
"225",0.000244573331778044
"226",0.000244573331778044
"227",0.000258294979721661
"228",0.000258294979721635
"229",0.000490261706611459
"230",0.000258294979721632
"231",0.000258294979721638
"232",0.000258294979721607
"233",0.000258294979721628
"234",0.000258294979721666
"235",0.000258294979721623
"236",0.000258294979721643
"237",0.000258294979721629
"238",0.000515633958986332
"239",0.000258294979721601
"240",0.000258294979721634
"241",0.000258294979721626
"242",0.000258294979721626
"243",0.000258294979721609
"244",0.000258294979721626
"245",0.000258294979721644
"246",0.000258294979721626
"247",0.000258294979721597
"248",0.000258294979721604
"249",0.000258294979721631
"250",0.000258294979721644
"251",0.000258294979721637
"252",0.000258294979721614
"253",0.000258294979721611
"254",0.000258294979721625
"255",0.000258294979721591
"256",0.00025829497972162
"257",0.000258294979721609
"258",0.000258294979721611
"259",0.000258294979721657
"260",0.000258294979721631
"261",0.000258294979721617
"262",0.000258294979721648
"263",0.000258294979721629
"264",0.000258294979721631
"265",0.000258294979721632
"266",0.000258294979721613
"267",0.000254101842747928
"268",0.000254101842747959
"269",0.000254113590698911
"270",0.00025411359069894
"271",0.000254113590698906
"272",0.000513394187537541
"273",0.000254113590698886
"274",0.000254113590698926
"275",0.000254113590698908
"276",0.000254113590698883
"277",0.000254113590698911
"278",0.000254113590698909
"279",0.000254113590698892
"280",0.00025411359069891
"281",0.000254113590698885
"282",0.000254113590698891
"283",0.00025411359069889
"284",0.000254113590698931
"285",0.00025411359069893
"286",0.000254113590698882
"287",0.000254113590698906
"288",0.000254113590698907
"289",0.000485091292312648
"290",0.000254113590698896
"291",0.000254113590698906
"292",0.000770197641787276
"293",0.000254113590698895
"294",0.000254113590698883
"295",0.000254113590698898
"296",0.000513603507956918
"297",0.000254113590698909
"298",0.000254113590698901
"299",0.000254113590698897
"300",0.000254113590698881
"301",0.000254113590698917
"302",0.000254113590698895
"303",0.000254113590698893
"304",0.000254113590698922
"305",0.000254113590698907
"306",0.000254113590698914
"307",0.00025411359069889
"308",0.000771968413477628
"309",0.000254113590698922
"310",0.00025411359069891
"311",0.000254113590698902
"312",0.000254113590698907
"313",0.000254113590698896
"314",0.000513394187537536
"315",0.000254113590698907
"316",0.000495830753651764
"317",0.000236571858407363
"318",0.000236571858407363
"319",0.000236571858407371
"320",0.0002365718584074
"321",0.000236571858407361
"322",0.000236571858407363
"323",0.000236571858407385
"324",0.000495830753651735
"325",0.000236571858407365
"326",0.000236571858407385
"327",0.00025405925465931
"328",0.000254059254659277
"329",0.000512612916614561
"330",0.000254059254659277
"331",0.000254059254659275
"332",0.000254059254659296
"333",0.00077196594011226
"334",0.000254059254659285
"335",0.000254059254659291
"336",0.000254059254659277
"337",0.000513442636092687
"338",0.000254059254659268
"339",0.00025405925465928
"340",0.000513442636092684
"341",0.000513442636092706
"342",0.000761431996277751
"343",0.000513442636092706
"344",0.000254059254659268
"345",0.000254059254659269
"346",0.0002540592546593
"347",0.000513442636092713
"348",0.000254059254659254
"349",0.000254059254659286
"350",0.000512612916614576
"351",0.000512612916614563
"352",0.000254059254659277
"353",0.000258294979721605
"354",0.00050297262307874
"355",0.00025829497972163
"356",0.000258294979721623
"357",0.000512612916614541
"358",0.000258294979721623
"359",0.000258294979721636
"360",0.000258294979721614
"361",0.000258294979721631
"362",0.000777276071086677
"363",0.000258294979721645
"364",0.00102941612913901
"365",0.000777276071086689
"366",0.00249732051831169
"367",0.00273802195752746
"368",0.000768677332419516
"369",0.000258294979721617
"370",0.000258294979721624
"371",0.00025829497972162
"372",0.00177087950925297
"373",0.000749343518436208
"374",0.000502972623078747
"375",0.00151837378955953
