"","corona_res"
"498",172
"499",172
"500",172
"501",89.171875
"502",167.6875
"503",217.84375
"504",152.875
"505",166.1875
"506",128.453125
"507",128.453125
"508",201.15625
"509",227.875
"510",142.375
"511",166.1875
"512",142.375
"513",138.015625
"514",153.015625
"515",143.640625
"516",227.875
"517",155.828125
"518",155.828125
"519",128.453125
"520",138.015625
"521",138.015625
"522",254.125
"523",146.875
"524",153.015625
"525",227.875
"526",131.265625
"527",237.8125
"528",216.34375
"529",262.46875
"530",128.453125
"531",303.25
"532",221.3125
"533",56.734375
"534",56.734375
"535",172.65625
"536",91.09375
"537",91.09375
"538",91.09375
"539",198.25
"540",91.09375
"541",91.09375
"542",91.09375
"543",121
"544",122.21875
"545",192.8125
"546",165.53125
"547",183.34375
"548",183.34375
"549",178.9375
"550",189.625
"551",82.9375
"552",106.1875
"553",106.1875
"554",106.1875
"555",106.1875
"556",106.1875
"557",106.1875
"558",106.1875
"559",106.1875
"560",106.1875
"561",106.1875
"562",106.1875
"563",106.1875
"564",106.1875
"565",89.171875
"566",89.171875
"567",128.453125
"568",128.453125
"569",128.453125
"570",128.453125
"571",128.453125
"572",143.640625
"573",205.9375
"574",138.015625
"575",128.453125
"576",128.453125
"577",201.15625
"578",128.453125
"579",128.453125
"580",128.453125
"581",128.453125
"582",201.15625
"583",138.015625
"584",128.453125
"585",138.015625
"586",128.453125
"587",128.453125
"588",128.453125
"589",128.453125
"590",128.453125
"591",128.453125
"592",128.453125
"593",128.453125
"594",128.453125
"595",205.9375
"596",128.453125
"597",128.453125
"598",128.453125
"599",128.453125
"600",128.453125
"601",128.453125
"602",138.015625
"603",205.9375
"604",128.453125
"605",128.453125
"606",128.453125
"607",128.453125
"608",128.453125
"609",128.453125
"610",128.453125
"611",128.453125
"612",128.453125
"613",128.453125
"614",128.453125
"615",128.453125
"616",128.453125
"617",128.453125
"618",128.453125
"619",128.453125
"620",128.453125
"621",205.9375
"622",201.15625
"623",128.453125
"624",128.453125
"625",205.9375
"626",138.015625
"627",128.453125
"628",128.453125
"629",128.453125
"630",128.453125
"631",128.453125
"632",128.453125
"633",205.9375
"634",128.453125
"635",128.453125
"636",128.453125
"637",201.15625
"638",128.453125
"639",138.015625
"640",128.453125
"641",128.453125
"642",143.640625
"643",128.453125
"644",128.453125
"645",205.9375
"646",128.453125
"647",128.453125
"648",137.3125
"649",128.453125
"650",128.453125
"651",205.9375
"652",128.453125
"653",201.15625
"654",128.453125
"655",128.453125
"656",128.453125
"657",138.015625
"658",128.453125
"659",128.453125
"660",128.453125
"661",128.453125
"662",128.453125
"663",128.453125
"664",138.015625
"665",128.453125
"666",128.453125
"667",128.453125
"668",128.453125
"669",128.453125
"670",128.453125
"671",128.453125
"672",128.453125
"673",138.015625
"674",128.453125
"675",128.453125
"676",128.453125
"677",128.453125
"678",128.453125
"679",128.453125
"680",128.453125
"681",128.453125
"682",128.453125
"683",128.453125
"684",128.453125
"685",128.453125
"686",128.453125
"687",128.453125
"688",128.453125
"689",128.453125
"690",128.453125
"691",128.453125
"692",128.453125
"693",56.734375
"694",56.734375
"695",56.734375
"696",56.734375
"697",56.734375
"698",88.375
"699",56.734375
"700",172
"701",172
"702",172
"703",172
"704",232.1875
"705",232.1875
"706",189.625
"707",232.1875
"708",232.1875
"709",172
"710",232.1875
"711",178.1875
"712",172
"713",172
"714",172
"715",172
"716",232.1875
"717",172
"718",172
"719",172
"720",172
"721",241.9375
"722",172
"723",278.3125
"724",172
"725",172
"726",172
"727",172
"728",172
"729",172
"730",172
"731",172
"732",232.1875
"733",172
"734",241.9375
"735",172
"736",172
"737",172
"738",172
"739",241.9375
"740",232.1875
"741",241.9375
"742",172
"743",172
"744",241.9375
"745",172
"746",186.625
"747",172
"748",241.9375
"749",172
"750",172
"751",172
"752",172
"753",241.9375
"754",172
"755",172
"756",172
"757",172
"758",172
"759",186.625
"760",232.1875
"761",232.1875
"762",232.1875
"763",186.625
"764",172
"765",172
"766",172
"767",241.9375
"768",172
"769",232.1875
"770",172
"771",172
"772",172
"773",172
"774",232.1875
"775",232.1875
"776",172
"777",172
"778",172
"779",178.1875
"780",241.9375
"781",232.1875
"782",241.9375
"783",157.28125
"784",206.59375
"785",157.28125
"786",206.59375
"787",206.59375
"788",157.28125
"789",157.28125
"790",157.28125
"791",206.59375
"792",157.28125
"793",157.28125
"794",157.28125
"795",206.59375
"796",157.28125
"797",157.28125
"798",206.59375
"799",206.59375
"800",157.28125
"801",206.59375
"802",206.59375
"803",206.59375
"804",172.65625
"805",206.59375
"806",157.28125
"807",206.59375
"808",206.59375
"809",157.28125
"810",206.59375
"811",157.28125
"812",206.59375
"813",206.59375
"814",157.28125
"815",157.28125
