"","influenza_dif"
"2323",532
"2324",532
"2325",532
"2326",532
"2327",532
"2328",849
"2329",849
"2330",849
"2331",372
"2332",924
"2333",689
"2334",372
"2335",1048
"2336",372
"2337",591
"2338",372
"2339",372
"2340",372
"2341",693
"2342",372
"2343",372
"2344",1988
"2345",878
"2346",372
"2347",372
"2348",372
"2349",372
"2350",372
"2351",372
"2352",689
"2353",372
"2354",1312
"2355",372
"2356",372
"2357",1048
"2358",372
"2359",372
"2360",1131
"2361",372
"2362",689
"2363",372
"2364",372
"2365",372
"2366",1048
"2367",372
"2368",591
"2369",1312
"2370",372
"2371",591
"2372",372
"2373",1312
"2374",1048
"2375",557
"2376",372
"2377",1403
"2378",372
"2379",372
"2380",372
"2381",372
"2382",372
"2383",372
"2384",372
"2385",372
"2386",372
"2387",372
"2388",969
"2389",1048
"2390",372
"2391",372
"2392",372
"2393",1667
"2394",372
"2395",372
"2396",372
"2397",1312
"2398",372
"2399",372
"2400",372
"2401",776
"2402",372
"2403",1048
"2404",372
"2405",372
"2406",597
"2407",933
"2408",597
"2409",597
"2410",1273
"2411",949
"2412",597
"2413",597
"2414",597
"2415",597
"2416",597
"2417",597
"2418",597
"2419",597
"2420",597
"2421",597
"2422",949
"2423",597
"2424",597
"2425",597
"2426",597
"2427",597
"2428",597
"2429",1001
"2430",597
"2431",1625
"2432",1295
"2433",355
"2434",2032
"2435",676
"2436",574
"2437",355
"2438",861
"2439",355
"2440",676
"2441",676
"2442",355
"2443",861
"2444",355
"2445",857
"2446",907
"2447",676
"2448",355
"2449",355
"2450",676
"2451",355
"2452",586
"2453",1496
"2454",944
"2455",672
"2456",355
"2457",759
"2458",1496
"2459",355
"2460",1265
"2461",355
"2462",861
"2463",1847
"2464",1031
"2465",508
"2466",990
"2467",1031
"2468",861
"2469",861
"2470",1092
"2471",586
"2472",355
"2473",355
"2474",1352
"2475",861
"2476",861
"2477",355
"2478",355
"2479",1092
"2480",861
"2481",1224
"2482",1311
"2483",586
"2484",540
"2485",355
"2486",944
"2487",676
"2488",944
"2489",336
"2490",336
"2491",336
"2492",336
"2493",336
"2494",336
"2495",336
"2496",336
"2497",336
"2498",336
"2499",336
"2500",1012
"2501",910
"2502",321
"2503",725
"2504",506
"2505",725
"2506",321
"2507",956
"2508",321
"2509",725
"2510",321
"2511",910
"2512",321
"2513",552
"2514",321
"2515",1227
"2516",321
"2517",321
"2518",321
"2519",552
"2520",321
"2521",321
"2522",321
"2523",506
"2524",321
"2525",321
"2526",321
"2527",321
"2528",321
"2529",552
"2530",321
"2531",321
"2532",540
"2533",185
"2534",185
"2535",185
"2536",185
"2537",185
"2538",416
"2539",185
"2540",185
"2541",185
"2542",185
"2543",185
"2544",185
"2545",185
"2546",185
"2547",185
"2548",185
"2549",861
"2550",219
"2551",940
"2552",219
"2553",219
"2554",219
"2555",219
"2556",219
"2557",219
"2558",219
"2559",219
"2560",536
"2561",536
"2562",219
"2563",536
"2564",536
"2565",219
"2566",219
"2567",536
"2568",219
"2569",623
"2570",219
"2571",219
"2572",536
"2573",219
"2574",536
"2575",219
"2576",219
"2577",536
"2578",536
"2579",219
"2580",1212
"2581",1212
"2582",219
"2583",219
"2584",219
"2585",219
"2586",536
"2587",352
"2588",352
"2589",352
"2590",352
"2591",1028
"2592",352
"2593",352
"2594",352
"2595",352
"2596",352
"2597",352
"2598",352
"2599",1028
"2600",352
"2601",352
"2602",352
"2603",352
"2604",352
"2605",352
"2606",352
"2607",352
"2608",352
"2609",352
"2610",352
"2611",352
"2612",153
"2613",153
"2614",317
"2615",317
"2616",317
"2617",317
"2618",317
"2619",317
"2620",317
"2621",317
"2622",317
"2623",317
"2624",317
"2625",317
"2626",317
"2627",317
"2628",317
"2629",317
"2630",317
"2631",317
"2632",317
"2633",317
"2634",317
"2635",317
"2636",317
"2637",993
"2638",317
"2639",317
"2640",317
"2641",317
"2642",317
"2643",317
"2644",317
"2645",317
"2646",317
"2647",317
"2648",317
"2649",317
"2650",317
"2651",317
"2652",317
"2653",317
"2654",317
"2655",317
"2656",317
"2657",317
"2658",317
"2659",317
"2660",317
"2661",317
"2662",317
"2663",317
"2664",317
"2665",317
"2666",317
"2667",317
"2668",317
"2669",317
"2670",317
"2671",317
"2672",317
"2673",317
"2674",317
"2675",317
"2676",721
"2677",317
"2678",317
"2679",317
"2680",317
"2681",317
"2682",317
"2683",317
"2684",317
"2685",676
"2686",676
"2687",676
"2688",676
"2689",676
"2690",676
"2691",676
"2692",676
"2693",676
"2694",676
"2695",676
"2696",676
"2697",676
"2698",676
"2699",676
"2700",676
"2701",676
"2702",676
"2703",676
"2704",676
"2705",676
"2706",676
"2707",676
"2708",676
"2709",676
"2710",676
"2711",676
"2712",676
"2713",676
"2714",676
"2715",676
"2716",676
"2717",676
"2718",676
"2719",676
"2720",676
"2721",676
"2722",676
"2723",676
"2724",404
"2725",404
"2726",404
"2727",404
"2728",404
"2729",404
"2730",635
"2731",635
"2732",404
"2733",404
"2734",404
"2735",404
"2736",404
"2737",635
"2738",404
"2739",404
"2740",404
"2741",404
"2742",404
"2743",635
"2744",404
"2745",231
"2746",231
"2747",231
"2748",231
"2749",231
"2750",231
"2751",231
"2752",306
"2753",985
"2754",2598
"2755",2394
"2756",2459
"2757",1303
"2758",1827
"2759",2926
"2760",1578
"2761",1559
"2762",6
"2763",2445
"2764",1942
"2765",192
"2766",12
"2767",76
"2768",155
"2769",292
"2770",493
"2771",683
"2772",1606
"2773",1183
"2774",173
"2775",4248
"2776",3090
"2777",683
"2778",555
"2779",791
"2780",334
"2781",949
"2782",563
"2783",1283
"2784",1036
"2785",3207
"2786",421
"2787",121
"2788",5188
"2789",3625
"2790",4577
"2791",415
"2792",3186
"2793",5199
"2794",919
"2795",220
"2796",87
"2797",12
