"","influenza_geo"
"591",824
"592",1745
"593",947
"594",592
"595",1299
"596",93
"597",740
"598",1170
"599",1585
"600",1506
"601",1028
"602",1051
"603",78
"604",457
"605",1189
"606",1575
"607",78
"608",1543
"609",1561
"610",729
"611",1628
"612",78
"613",78
"614",1096
"615",1136
"616",1303
"617",614
"618",1352
"619",965
"620",644
"621",819
"622",1210
"623",1292
"624",1699
"625",1991
"626",965
"627",648
"628",1382
"629",1189
"630",693
"631",1174
"632",668
"633",1593
"634",1326
"635",1196
"636",441
"637",1118
"638",946
"639",1303
"640",2180
"641",441
"642",965
"643",817
"644",1196
"645",620
"646",946
"647",644
"648",1119
"649",965
"650",965
"651",965
"652",965
"653",1144
"654",441
"655",594
"656",640
"657",965
"658",620
"659",1533
"660",412
"661",1303
"662",946
"663",965
"664",946
"665",1292
"666",644
"667",478
"668",965
"669",1747
"670",1200
"671",1232
"672",356
"673",983
"674",714
"675",2180
"676",1350
"677",356
"678",356
"679",620
"680",1327
"681",946
"682",620
"683",620
"684",412
"685",1909
"686",1567
"687",1689
"688",412
"689",784
"690",1343
"691",476
"692",848
"693",656
"694",620
"695",1881
"696",222
"697",192
"698",611
"699",574
"700",276
"701",276
"702",1426
"703",1585
"704",1344
"705",1468
"706",874
"707",192
"708",276
"709",621
"710",1483
"711",1417
"712",1741
"713",765
"714",791
"715",765
"716",1316
"717",302
"718",1634
"719",976
"720",1361
"721",997
"722",1769
"723",1599
"724",1529
"725",276
"726",1419
"727",1479
"728",276
"729",1383
"730",1407
"731",276
"732",1360
"733",1324
"734",276
"735",276
"736",1555
"737",748
"738",731
"739",877
"740",1157
"741",192
"742",1305
"743",276
"744",276
"745",731
"746",192
"747",1007
"748",276
"749",276
"750",856
"751",302
"752",192
"753",276
"754",192
"755",276
"756",713
"757",276
"758",192
"759",276
"760",1040
"761",192
"762",908
"763",276
"764",577
"765",1346
"766",570
"767",557
"768",1364
"769",765
"770",302
"771",1617
"772",1960
"773",192
"774",707
"775",610
"776",276
"777",609
"778",827
"779",1768
"780",1415
"781",276
"782",1526
"783",381
"784",276
"785",969
"786",765
"787",1646
"788",1629
"789",1711
"790",276
"791",1139
"792",1286
"793",746
"794",887
"795",983
"796",777
"797",700
"798",270
"799",270
"800",911
"801",192
"802",1142
"803",1401
"804",765
"805",1344
"806",302
"807",557
"808",416
"809",192
"810",1846
"811",468
"812",192
"813",942
"814",192
"815",192
"816",447
"817",1411
"818",447
"819",524
"820",447
"821",270
"822",632
"823",270
"824",270
"825",270
"826",225
"827",225
"828",872
"829",497
"830",1428
"831",1285
"832",1410
"833",1325
"834",1312
"835",1252
"836",906
"837",1181
"838",1868
"839",1006
"840",636
"841",1520
"842",1197
"843",1119
"844",906
"845",1656
"846",1586
"847",906
"848",1889
"849",361
"850",906
"851",1627
"852",2140
"853",1196
"854",1855
"855",793
"856",2128
"857",1475
"858",588
"859",361
"860",1896
"861",1213
"862",992
"863",1145
"864",578
"865",906
"866",550
"867",1276
"868",753
"869",1325
"870",1835
"871",1954
"872",952
"873",361
"874",637
"875",1158
"876",1502
"877",906
"878",906
"879",836
"880",1847
"881",1053
"882",918
"883",753
"884",952
"885",1215
"886",1637
"887",753
"888",1017
"889",491
"890",646
"891",906
"892",906
"893",1735
"894",637
"895",617
"896",875
"897",897
"898",681
"899",2125
"900",361
"901",802
"902",396
"903",802
"904",802
"905",396
"906",564
"907",564
"908",802
"909",396
"910",784
"911",584
"912",396
"913",1153
"914",584
"915",769
"916",671
"917",450
"918",396
"919",784
"920",769
"921",564
"922",1241
"923",612
"924",784
"925",584
"926",1946
"927",1039
"928",1545
"929",396
"930",564
"931",564
"932",889
"933",1582
"934",396
"935",564
"936",396
"937",1029
"938",802
"939",769
"940",820
"941",612
"942",564
"943",784
"944",396
"945",396
"946",784
"947",396
"948",1683
"949",860
"950",759
"951",425
"952",208
"953",397
"954",982
"955",480
"956",934
"957",130
"958",898
"959",130
"960",1259
"961",130
"962",130
"963",490
"964",210
"965",657
"966",1060
"967",111
"968",111
"969",111
"970",1060
"971",111
"972",111
"973",752
"974",945
"975",945
"976",111
"977",1244
"978",258
"979",111
"980",111
"981",335
"982",646
"983",820
"984",130
"985",130
"986",130
"987",928
"988",130
"989",130
"990",111
"991",111
"992",111
"993",111
"994",115
"995",236
"996",115
"997",142
"998",115
"999",142
"1000",115
"1001",115
"1002",142
"1003",486
"1004",115
"1005",557
"1006",115
"1007",115
"1008",115
"1009",115
"1010",684
"1011",115
"1012",115
"1013",586
"1014",115
"1015",115
"1016",843
"1017",322
"1018",115
"1019",387
"1020",785
"1021",772
"1022",1056
"1023",115
"1024",493
"1025",115
"1026",769
"1027",115
"1028",506
"1029",369
"1030",115
"1031",115
"1032",665
"1033",460
"1034",115
"1035",115
"1036",159
"1037",1200
"1038",159
"1039",602
"1040",501
"1041",1726
"1042",1207
"1043",159
"1044",602
"1045",231
"1046",583
"1047",465
"1048",392
"1049",159
"1050",231
"1051",159
"1052",1162
"1053",370
"1054",370
"1055",1201
"1056",159
"1057",463
"1058",630
"1059",159
"1060",827
"1061",497
"1062",1876
"1063",602
"1064",1179
"1065",1090
"1066",1149
"1067",159
"1068",1145
"1069",465
"1070",599
"1071",159
"1072",359
"1073",359
"1074",476
"1075",359
"1076",456
"1077",359
"1078",450
"1079",961
"1080",177
"1081",825
"1082",476
"1083",177
"1084",177
"1085",359
"1086",464
"1087",359
"1088",177
"1089",1392
"1090",359
"1091",951
"1092",1048
"1093",582
"1094",177
"1095",359
"1096",596
"1097",351
"1098",351
"1099",1426
"1100",754
"1101",1510
"1102",874
"1103",982
"1104",871
"1105",848
"1106",1327
"1107",351
"1108",1041
"1109",351
"1110",528
"1111",933
"1112",351
"1113",351
"1114",596
"1115",351
"1116",351
"1117",351
"1118",351
"1119",351
"1120",351
"1121",351
"1122",351
"1123",1383
"1124",226
"1125",351
"1126",351
"1127",351
"1128",754
"1129",351
"1130",351
"1131",351
"1132",351
"1133",351
"1134",351
"1135",351
"1136",933
"1137",351
"1138",620
"1139",85
"1140",85
"1141",360
"1142",734
"1143",888
"1144",85
"1145",85
"1146",85
"1147",1104
"1148",226
"1149",226
"1150",226
"1151",226
"1152",226
"1153",226
"1154",226
"1155",923
"1156",85
"1157",85
"1158",85
"1159",465
"1160",428
"1161",428
"1162",428
"1163",839
"1164",428
"1165",687
"1166",556
"1167",428
"1168",428
"1169",687
"1170",428
"1171",327
"1172",327
"1173",327
"1174",327
"1175",327
"1176",327
"1177",327
"1178",327
"1179",327
"1180",327
"1181",327
"1182",630
"1183",428
"1184",428
"1185",428
"1186",428
"1187",428
"1188",428
"1189",556
"1190",810
"1191",428
"1192",428
"1193",428
"1194",428
"1195",601
"1196",327
"1197",327
"1198",327
"1199",327
"1200",327
"1201",626
"1202",327
"1203",1206
"1204",327
"1205",1215
"1206",327
"1207",157
"1208",533
"1209",1058
"1210",157
"1211",1424
"1212",1196
"1213",771
"1214",1050
"1215",771
"1216",1042
"1217",1978
"1218",1518
"1219",1962
"1220",771
"1221",771
"1222",638
"1223",638
"1224",987
"1225",987
"1226",638
"1227",1581
"1228",638
"1229",638
"1230",1464
"1231",921
"1232",638
"1233",638
"1234",1411
"1235",638
"1236",1871
"1237",1231
"1238",1001
"1239",1998
"1240",638
"1241",2013
"1242",1737
"1243",1465
"1244",1659
"1245",638
"1246",1172
"1247",638
"1248",1696
"1249",1507
"1250",1001
"1251",870
"1252",638
"1253",638
"1254",1358
"1255",2399
"1256",638
"1257",1518
"1258",1431
"1259",1632
"1260",1061
"1261",638
"1262",638
"1263",638
"1264",638
"1265",638
"1266",638
"1267",638
"1268",638
"1269",778
"1270",638
"1271",638
"1272",1552
"1273",1280
"1274",713
"1275",1805
"1276",145
"1277",1887
"1278",1348
"1279",1791
"1280",556
"1281",1095
"1282",556
"1283",351
"1284",720
"1285",839
"1286",1436
"1287",97
"1288",924
"1289",1718
"1290",116
"1291",428
"1292",116
"1293",1183
"1294",1016
"1295",734
"1296",1399
"1297",428
"1298",428
"1299",999
"1300",1445
"1301",982
"1302",145
"1303",64
"1304",1548
"1305",592
"1306",950
"1307",1048
"1308",1327
"1309",1115
"1310",1204
"1311",145
"1312",1257
"1313",1372
"1314",607
"1315",489
"1316",351
"1317",351
"1318",754
"1319",1723
"1320",426
"1321",97
"1322",145
"1323",787
"1324",1550
"1325",1493
"1326",838
"1327",351
"1328",428
"1329",428
"1330",1246
"1331",1782
"1332",1585
"1333",556
"1334",1343
"1335",1213
"1336",1069
"1337",1727
"1338",1818
"1339",754
"1340",1649
"1341",574
"1342",1517
"1343",1500
"1344",327
"1345",116
"1346",1080
"1347",1220
"1348",720
"1349",428
"1350",782
"1351",428
"1352",428
"1353",797
"1354",1498
"1355",327
"1356",1277
"1357",1384
"1358",1733
"1359",556
"1360",754
"1361",933
"1362",97
"1363",1165
"1364",754
"1365",428
"1366",720
"1367",71
"1368",1758
"1369",689
"1370",1620
"1371",1815
"1372",556
"1373",1757
"1374",1306
"1375",1522
"1376",428
"1377",514
"1378",574
"1379",1884
"1380",710
"1381",116
"1382",2131
"1383",1353
"1384",1605
"1385",1344
"1386",1334
"1387",2104
"1388",97
"1389",556
"1390",1572
"1391",1564
"1392",845
"1393",1453
"1394",1658
"1395",1007
"1396",1187
"1397",1314
"1398",1165
"1399",1524
"1400",1983
"1401",779
"1402",351
"1403",116
"1404",1555
"1405",1227
"1406",428
"1407",1737
"1408",1887
"1409",1377
"1410",394
"1411",783
"1412",1611
"1413",64
"1414",1072
"1415",993
"1416",1385
"1417",806
"1418",327
"1419",703
"1420",1700
"1421",1262
"1422",1664
"1423",428
"1424",710
"1425",1272
"1426",2023
"1427",71
"1428",428
"1429",71
"1430",574
"1431",276
"1432",783
"1433",1503
"1434",2054
"1435",710
"1436",1344
"1437",1440
"1438",1314
"1439",754
"1440",754
"1441",351
"1442",226
"1443",428
"1444",870
"1445",351
"1446",64
"1447",351
"1448",71
"1449",673
"1450",428
"1451",116
"1452",1566
"1453",1308
"1454",1467
"1455",116
"1456",556
"1457",116
"1458",885
"1459",574
"1460",351
"1461",116
"1462",1115
"1463",1903
"1464",327
"1465",1620
"1466",574
"1467",351
"1468",394
"1469",351
"1470",414
"1471",1016
"1472",710
"1473",351
"1474",71
"1475",1268
"1476",520
"1477",1253
"1478",428
