"","influenza_geo"
"2351",412
"2352",614
"2353",412
"2354",979
"2355",412
"2356",412
"2357",987
"2358",412
"2359",412
"2360",937
"2361",412
"2362",614
"2363",412
"2364",412
"2365",412
"2366",987
"2367",412
"2368",536
"2369",979
"2370",412
"2371",536
"2372",412
"2373",979
"2374",987
"2375",562
"2376",412
"2377",1200
"2378",412
"2379",412
"2380",412
"2381",412
"2382",412
"2383",412
"2384",412
"2385",412
"2386",412
"2387",412
"2388",947
"2389",987
"2390",412
"2391",412
"2392",412
"2393",1156
"2394",412
"2395",412
"2396",412
"2397",979
"2398",412
"2399",412
"2400",412
"2401",741
"2402",412
"2403",987
"2404",412
"2405",412
"2406",638
"2407",715
"2408",638
"2409",638
"2410",1001
"2411",763
"2412",638
"2413",638
"2414",638
"2415",638
"2416",638
"2417",638
"2418",638
"2419",638
"2420",638
"2421",638
"2422",763
"2423",638
"2424",638
"2425",638
"2426",638
"2427",638
"2428",638
"2429",921
"2430",638
"2431",1047
"2432",983
"2433",396
"2434",1194
"2435",546
"2436",548
"2437",396
"2438",623
"2439",396
"2440",546
"2441",546
"2442",396
"2443",623
"2444",396
"2445",750
"2446",631
"2447",546
"2448",396
"2449",396
"2450",546
"2451",396
"2452",519
"2453",933
"2454",779
"2455",658
"2456",396
"2457",697
"2458",933
"2459",396
"2460",882
"2461",396
"2462",623
"2463",1131
"2464",988
"2465",501
"2466",773
"2467",988
"2468",623
"2469",623
"2470",704
"2471",519
"2472",396
"2473",396
"2474",1101
"2475",623
"2476",623
"2477",396
"2478",396
"2479",704
"2480",623
"2481",870
"2482",866
"2483",519
"2484",497
"2485",396
"2486",779
"2487",546
"2488",779
"2489",377
"2490",377
"2491",377
"2492",377
"2493",377
"2494",377
"2495",377
"2496",377
"2497",377
"2498",377
"2499",377
"2500",781
"2501",749
"2502",361
"2503",666
"2504",462
"2505",666
"2506",361
"2507",751
"2508",361
"2509",666
"2510",361
"2511",749
"2512",361
"2513",489
"2514",361
"2515",974
"2516",361
"2517",361
"2518",361
"2519",489
"2520",361
"2521",361
"2522",361
"2523",462
"2524",361
"2525",361
"2526",361
"2527",361
"2528",361
"2529",489
"2530",361
"2531",361
"2532",522
"2533",225
"2534",225
"2535",225
"2536",225
"2537",225
"2538",393
"2539",225
"2540",225
"2541",225
"2542",225
"2543",225
"2544",225
"2545",225
"2546",225
"2547",225
"2548",225
"2549",842
"2550",257
"2551",783
"2552",257
"2553",257
"2554",257
"2555",257
"2556",257
"2557",257
"2558",257
"2559",257
"2560",467
"2561",467
"2562",257
"2563",467
"2564",467
"2565",257
"2566",257
"2567",467
"2568",257
"2569",597
"2570",257
"2571",257
"2572",467
"2573",257
"2574",467
"2575",257
"2576",257
"2577",467
"2578",467
"2579",257
"2580",1036
"2581",1036
"2582",257
"2583",257
"2584",257
"2585",257
"2586",467
"2587",394
"2588",394
"2589",394
"2590",394
"2591",777
"2592",394
"2593",394
"2594",394
"2595",394
"2596",394
"2597",394
"2598",394
"2599",777
"2600",394
"2601",394
"2602",394
"2603",394
"2604",394
"2605",394
"2606",394
"2607",394
"2608",394
"2609",394
"2610",394
"2611",394
"2612",192
"2613",192
"2614",356
"2615",356
"2616",356
"2617",356
"2618",356
"2619",356
"2620",356
"2621",356
"2622",356
"2623",356
"2624",356
"2625",356
"2626",356
"2627",356
"2628",356
"2629",356
"2630",356
"2631",356
"2632",356
"2633",356
"2634",356
"2635",356
"2636",356
"2637",958
"2638",356
"2639",356
"2640",356
"2641",356
"2642",356
"2643",356
"2644",356
"2645",356
"2646",356
"2647",356
"2648",356
"2649",356
"2650",356
"2651",356
"2652",356
"2653",356
"2654",356
"2655",356
"2656",356
"2657",356
"2658",356
"2659",356
"2660",356
"2661",356
"2662",356
"2663",356
"2664",356
"2665",356
"2666",356
"2667",356
"2668",356
"2669",356
"2670",356
"2671",356
"2672",356
"2673",356
"2674",356
"2675",356
"2676",699
"2677",356
"2678",356
"2679",356
"2680",356
"2681",356
"2682",356
"2683",356
"2684",356
"2685",720
"2686",720
"2687",720
"2688",720
"2689",720
"2690",720
"2691",720
"2692",720
"2693",720
"2694",720
"2695",720
"2696",720
"2697",720
"2698",720
"2699",720
"2700",720
"2701",720
"2702",720
"2703",720
"2704",720
"2705",720
"2706",720
"2707",720
"2708",720
"2709",720
"2710",720
"2711",720
"2712",720
"2713",720
"2714",720
"2715",720
"2716",720
"2717",720
"2718",720
"2719",720
"2720",720
"2721",720
"2722",720
"2723",720
"2724",447
"2725",447
"2726",447
"2727",447
"2728",447
"2729",447
"2730",582
"2731",582
"2732",447
"2733",447
"2734",447
"2735",447
"2736",447
"2737",582
"2738",447
"2739",447
"2740",447
"2741",447
"2742",447
"2743",582
"2744",447
"2745",270
"2746",270
"2747",270
"2748",270
"2749",270
"2750",270
"2751",270
"2752",2769
"2753",2753
"2754",2792
"2755",2790
"2756",2790
"2757",2790
"2758",2779
"2759",2794
"2760",2765
"2761",2772
"2762",1157
"2763",2795
"2764",2783
"2765",2597
"2766",1783
"2767",2291
"2768",2597
"2769",2626
"2770",2720
"2771",2762
"2772",2772
"2773",2727
"2774",2652
"2775",2792
"2776",2792
"2777",2641
"2778",2615
"2779",2753
"2780",2739
"2781",2745
"2782",2689
"2783",2716
"2784",2774
"2785",2792
"2786",2679
"2787",2663
"2788",2796
"2789",2794
"2790",2796
"2791",2557
"2792",2793
"2793",2794
"2794",2709
"2795",2601
"2796",2479
"2797",1339
