"","influenza_lat"
"1",958.416666666667
"2",841.483333333333
"3",795.3
"4",1074.91666666667
"5",1030.98333333333
"6",1030.98333333333
"7",782.55
"8",1087.08333333333
"9",748.55
"10",982.566666666667
"11",1006.48333333333
"12",960.483333333333
"13",830.7
"14",782.55
"15",886.616666666667
"16",748.55
"17",782.55
"18",1099.08333333333
"19",851.233333333333
"20",919.066666666667
"21",965.15
"22",859.2
"23",748.55
"24",1066.25
"25",851.233333333333
"26",952.416666666667
"27",1138.16666666667
"28",755.45
"29",803.783333333333
"30",903.15
"31",803.783333333333
"32",1026.56666666667
"33",782.55
"34",990.166666666667
"35",822.566666666667
"36",782.55
"37",1091.28333333333
"38",910.533333333333
"39",748.55
"40",803.783333333333
"41",803.783333333333
"42",737.416666666667
"43",748.55
"44",748.55
"45",865.116666666667
"46",873.9
"47",748.55
"48",969.65
"49",822.566666666667
"50",737.416666666667
"51",822.566666666667
"52",748.55
"53",1004.45
"54",748.55
"55",822.566666666667
"56",994.166666666667
"57",1163.5
"58",1047.15
"59",1153.16666666667
"60",828.1
"61",938.666666666667
"62",1101.83333333333
"63",799.116666666667
"64",799.116666666667
"65",799.116666666667
"66",799.116666666667
"67",1273
"68",1002.03333333333
"69",1137.58333333333
"70",748.55
"71",790.683333333333
"72",756.85
"73",756.85
"74",756.85
"75",1204.91666666667
"76",782.55
"77",1124.33333333333
"78",782.716666666667
"79",1182.25
"80",847.366666666667
"81",1181.08333333333
"82",774.583333333333
"83",774.583333333333
"84",774.583333333333
"85",832.45
"86",832.45
"87",832.45
"88",839.783333333333
"89",832.45
"90",831.35
"91",774.583333333333
"92",817.45
"93",968.833333333333
"94",1061.75
"95",803.783333333333
"96",817.45
"97",817.45
"98",859.033333333333
"99",803.783333333333
"100",1122
"101",817.45
"102",1133
"103",1045.75
"104",859.033333333333
"105",846.366666666667
"106",846.366666666667
"107",846.366666666667
"108",817.45
"109",846.366666666667
"110",1019.08333333333
"111",859.033333333333
"112",859.033333333333
"113",1117.91666666667
"114",846.366666666667
"115",844.483333333333
"116",767.083333333333
"117",986.416666666667
"118",757.916666666667
"119",1145.41666666667
"120",844.483333333333
"121",827.316666666667
"122",767.083333333333
"123",767.083333333333
"124",767.083333333333
"125",767.083333333333
"126",767.083333333333
"127",767.216666666667
"128",767.083333333333
"129",767.083333333333
"130",767.083333333333
"131",767.083333333333
"132",767.083333333333
"133",836.533333333333
"134",945.4
"135",854.6
"136",748.55
"137",1063.83333333333
"138",1255.83333333333
"139",1085.08333333333
"140",1072.75
"141",1226.83333333333
"142",990.166666666667
"143",968.75
"144",803.783333333333
"145",930.15
"146",748.55
"147",803.783333333333
"148",803.783333333333
"149",962.9
"150",817.45
"151",822.566666666667
"152",782.55
"153",795.3
"154",822.566666666667
"155",945.233333333333
"156",1104.91666666667
"157",748.55
"158",710.45
"159",871.116666666667
"160",748.55
"161",979.283333333333
"162",748.55
"163",795.3
"164",710.45
"165",748.55
"166",782.55
"167",748.55
"168",945.233333333333
"169",822.566666666667
"170",945.233333333333
"171",803.783333333333
"172",757.916666666667
"173",846.483333333333
"174",748.55
"175",822.566666666667
"176",929.766666666667
"177",786.183333333333
"178",662.516666666667
"179",906.7
"180",1081
"181",1083.66666666667
"182",926.866666666667
"183",979.083333333333
"184",1120.5
"185",1016.08333333333
"186",865.95
"187",1075.33333333333
"188",1077
"189",1076.91666666667
"190",930.083333333333
"191",803.783333333333
"192",1156.58333333333
"193",934.916666666667
"194",817.45
"195",1084.83333333333
"196",1087.41666666667
"197",1121.41666666667
"198",1200.75
"199",1123
"200",1075.33333333333
"201",904.5
"202",1073.33333333333
"203",1123
"204",1153.25
"205",1172.58333333333
"206",1119.08333333333
"207",1080.33333333333
"208",1077.5
"209",1077
"210",1133.83333333333
"211",817.45
"212",1124.16666666667
"213",1091
"214",932.866666666667
"215",1081
"216",1102.91666666667
"217",985.333333333333
"218",882.033333333333
"219",1066.91666666667
"220",1116.5
"221",1155.08333333333
"222",1054.91666666667
"223",929.2
"224",841.2
"225",1207.08333333333
"226",1123.91666666667
"227",1124.16666666667
"228",1083.41666666667
"229",1093.5
"230",1057.58333333333
"231",1124.16666666667
"232",993.5
"233",1075.91666666667
"234",823.866666666667
"235",1062.66666666667
"236",1115.33333333333
"237",1033.08333333333
"238",1060.25
"239",913.25
"240",803.783333333333
"241",1077.91666666667
"242",1128
"243",1189.91666666667
"244",836.533333333333
"245",1157.41666666667
"246",1078.66666666667
"247",824.366666666667
"248",1123
"249",1108.75
"250",1170.75
"251",1125.41666666667
"252",1000.83333333333
"253",1068.08333333333
"254",1084.33333333333
"255",1147.83333333333
"256",1050.91666666667
"257",1013.33333333333
"258",1084.83333333333
"259",1081.91666666667
"260",986.333333333333
"261",1080.75
"262",729.066666666667
"263",1022.5
"264",1022.5
"265",707.183333333333
"266",1081.91666666667
"267",949.666666666667
"268",1126.33333333333
"269",1077.75
"270",1084.33333333333
"271",729.066666666667
"272",1033.5
"273",1078.16666666667
"274",1094.5
"275",1083.41666666667
"276",752.5
"277",1027.41666666667
"278",1093.66666666667
"279",729.066666666667
"280",1084.33333333333
"281",944.083333333333
"282",1080.75
"283",729.066666666667
"284",1080.25
"285",1125.41666666667
"286",1122.33333333333
"287",1250.5
"288",1022.5
"289",729.066666666667
"290",1020.83333333333
"291",905.65
"292",1080.75
"293",1072.33333333333
"294",1123
"295",1061.91666666667
"296",729.066666666667
"297",1118.16666666667
"298",707.183333333333
"299",729.066666666667
"300",1080.75
"301",729.066666666667
"302",1084.33333333333
"303",1080.75
"304",1177
"305",1068.41666666667
"306",1119.33333333333
"307",811.2
"308",803.783333333333
"309",1162.66666666667
"310",944.333333333333
"311",880.033333333333
"312",865.95
"313",1130
"314",1124.16666666667
"315",817.2
"316",922.95
"317",947.2
"318",702.716666666667
"319",702.716666666667
"320",762.75
"321",1095.16666666667
"322",702.716666666667
"323",1230
"324",1027
"325",877.95
"326",955.833333333333
"327",951.583333333333
"328",1157.75
"329",1136.58333333333
"330",993.5
"331",1120.33333333333
"332",803.783333333333
"333",803.783333333333
"334",936.033333333333
"335",1172.66666666667
"336",803.783333333333
"337",1004.25
"338",841.95
"339",1025.66666666667
