"","corona_rad"
"1",2.87144886363636
"2",3.06747159090909
"3",3.63565340909091
"4",3.63565340909091
"5",3.63565340909091
"6",3.98792613636364
"7",3.63565340909091
"8",2.87144886363636
"9",2.87144886363636
"10",2.87144886363636
"11",3.63565340909091
"12",3.63565340909091
"13",2.87144886363636
"14",2.87144886363636
"15",3.36292613636364
"16",2.87144886363636
"17",2.87144886363636
"18",3.66548295454545
"19",3.67258522727273
"20",1.88849431818182
"21",3.64417613636364
"22",3.66548295454545
"23",2.66264204545455
"24",2.66264204545455
"25",2.95667613636364
"26",2.95667613636364
"27",2.95667613636364
"28",2.95667613636364
"29",2.95667613636364
"30",2.95667613636364
"31",1.88849431818182
"32",3.67258522727273
"33",1.88849431818182
"34",1.88849431818182
"35",1.88849431818182
"36",1.88849431818182
"37",1.88849431818182
"38",1.88849431818182
"39",1.88849431818182
"40",1.88849431818182
"41",1.88849431818182
"42",1.88849431818182
"43",1.88849431818182
"44",1.88849431818182
"45",1.88849431818182
"46",3.94389204545455
"47",3.57173295454545
"48",3.26065340909091
"49",3.26065340909091
"50",3.41974431818182
"51",3.26065340909091
"52",3.89133522727273
"53",3.26065340909091
"54",3.26065340909091
"55",3.26065340909091
"56",3.26065340909091
"57",3.33167613636364
"58",3.26065340909091
"59",3.26065340909091
"60",3.26065340909091
"61",3.26065340909091
"62",3.26065340909091
"63",3.26065340909091
"64",3.26065340909091
"65",3.26065340909091
"66",4.12855113636364
"67",3.26065340909091
"68",3.82883522727273
"69",3.26065340909091
"70",3.26065340909091
"71",3.26065340909091
"72",3.26065340909091
"73",3.26065340909091
"74",3.26065340909091
"75",3.26065340909091
"76",3.26065340909091
"77",3.26065340909091
"78",3.63565340909091
"79",3.63565340909091
"80",3.63565340909091
"81",3.63565340909091
"82",3.63565340909091
"83",3.63565340909091
"84",3.63565340909091
"85",3.63565340909091
"86",3.63565340909091
"87",3.63565340909091
"88",3.63565340909091
"89",3.63565340909091
"90",3.63565340909091
"91",3.63565340909091
"92",3.63565340909091
"93",3.63565340909091
"94",3.63565340909091
"95",3.63565340909091
"96",3.63565340909091
"97",3.63565340909091
"98",3.63565340909091
"99",3.63565340909091
"100",3.63565340909091
"101",3.63565340909091
"102",3.63565340909091
"103",3.63565340909091
"104",3.63565340909091
"105",3.65127840909091
"106",3.63565340909091
"107",3.63565340909091
"108",3.63565340909091
"109",3.63565340909091
"110",3.63565340909091
"111",3.63565340909091
"112",3.63565340909091
"113",3.63565340909091
"114",3.63565340909091
"115",3.63565340909091
"116",3.63565340909091
"117",3.63565340909091
"118",3.63565340909091
"119",3.63565340909091
"120",3.63565340909091
"121",3.63565340909091
"122",3.63565340909091
"123",3.63565340909091
"124",3.63565340909091
"125",3.63565340909091
"126",3.63565340909091
"127",3.63565340909091
"128",3.63565340909091
"129",3.63565340909091
"130",3.63565340909091
"131",3.63565340909091
"132",3.63565340909091
"133",3.63565340909091
"134",4.43821022727273
"135",3.63565340909091
"136",3.63565340909091
"137",3.63565340909091
"138",3.63565340909091
"139",3.63565340909091
"140",3.63565340909091
"141",3.63565340909091
"142",3.63565340909091
"143",3.63565340909091
"144",3.63565340909091
"145",3.63565340909091
"146",3.63565340909091
"147",3.63565340909091
"148",3.63565340909091
"149",3.65696022727273
"150",3.63565340909091
"151",3.63565340909091
"152",3.63565340909091
"153",3.89133522727273
"154",3.63565340909091
"155",4.43821022727273
"156",3.63565340909091
"157",3.63565340909091
"158",3.63565340909091
"159",3.63565340909091
"160",4.1640625
"161",3.63565340909091
"162",3.63565340909091
"163",3.63565340909091
"164",4.43821022727273
"165",4.1640625
"166",3.63565340909091
"167",3.63565340909091
"168",4.1640625
"169",3.66548295454545
"170",3.63565340909091
"171",3.63565340909091
"172",4.43821022727273
"173",3.63565340909091
"174",3.63565340909091
"175",4.43821022727273
"176",3.63565340909091
"177",4.09019886363636
"178",3.63565340909091
"179",4.09019886363636
"180",4.09019886363636
"181",4.43821022727273
"182",3.63565340909091
"183",4.1640625
"184",3.63565340909091
"185",3.63565340909091
"186",3.63565340909091
"187",3.63565340909091
"188",3.63565340909091
"189",3.63565340909091
"190",3.63565340909091
"191",3.63565340909091
"192",3.63565340909091
"193",3.63565340909091
"194",3.63565340909091
"195",3.63565340909091
"196",3.63565340909091
"197",3.63565340909091
"198",3.63565340909091
"199",3.63565340909091
"200",3.63565340909091
"201",3.63565340909091
"202",3.63565340909091
"203",3.63565340909091
"204",3.63565340909091
"205",3.63565340909091
"206",3.63565340909091
"207",3.57883522727273
"208",2.96519886363636
"209",2.96519886363636
"210",3.87002840909091
"211",3.49786931818182
"212",3.49786931818182
"213",3.49786931818182
"214",3.49786931818182
"215",3.49786931818182
"216",3.87002840909091
"217",3.49786931818182
"218",2.97798295454545
"219",2.97798295454545
"220",2.97798295454545
"221",2.97798295454545
"222",2.97798295454545
"223",2.97798295454545
"224",2.97798295454545
"225",2.97798295454545
"226",2.97798295454545
"227",3.63565340909091
"228",3.63565340909091
"229",3.65127840909091
"230",3.63565340909091
"231",3.63565340909091
"232",3.63565340909091
"233",3.63565340909091
"234",3.63565340909091
"235",3.63565340909091
"236",3.63565340909091
"237",3.63565340909091
"238",3.89133522727273
"239",3.63565340909091
"240",3.63565340909091
"241",3.63565340909091
"242",3.63565340909091
"243",3.63565340909091
"244",3.63565340909091
"245",3.63565340909091
"246",3.63565340909091
"247",3.63565340909091
"248",3.63565340909091
"249",3.63565340909091
"250",3.63565340909091
"251",3.63565340909091
"252",3.63565340909091
"253",3.63565340909091
"254",3.63565340909091
"255",3.63565340909091
"256",3.63565340909091
"257",3.63565340909091
"258",3.63565340909091
"259",3.63565340909091
"260",3.63565340909091
"261",3.63565340909091
"262",3.63565340909091
"263",3.63565340909091
"264",3.63565340909091
"265",3.63565340909091
"266",3.63565340909091
"267",3.07883522727273
"268",3.07883522727273
"269",3.1015625
"270",3.1015625
"271",3.1015625
"272",3.62713068181818
"273",3.1015625
"274",3.1015625
"275",3.1015625
"276",3.1015625
"277",3.1015625
"278",3.1015625
"279",3.1015625
"280",3.1015625
"281",3.1015625
"282",3.1015625
"283",3.1015625
"284",3.1015625
"285",3.1015625
"286",3.1015625
"287",3.1015625
"288",3.1015625
"289",3.23082386363636
"290",3.1015625
"291",3.1015625
"292",3.99928977272727
"293",3.1015625
"294",3.1015625
"295",3.1015625
"296",3.69389204545455
"297",3.1015625
"298",3.1015625
"299",3.1015625
"300",3.1015625
"301",3.1015625
"302",3.1015625
"303",3.1015625
"304",3.1015625
"305",3.1015625
"306",3.1015625
"307",3.1015625
"308",3.98792613636364
"309",3.1015625
"310",3.1015625
"311",3.1015625
"312",3.1015625
"313",3.1015625
"314",3.62713068181818
"315",3.1015625
"316",3.58025568181818
"317",2.66264204545455
"318",2.66264204545455
"319",2.66264204545455
"320",2.66264204545455
"321",2.66264204545455
"322",2.66264204545455
"323",2.66264204545455
"324",3.58025568181818
"325",2.66264204545455
"326",2.66264204545455
"327",3.13707386363636
"328",3.13707386363636
"329",3.71235795454545
"330",3.13707386363636
"331",3.13707386363636
"332",3.13707386363636
"333",3.98792613636364
"334",3.13707386363636
"335",3.13707386363636
"336",3.13707386363636
"337",3.68678977272727
"338",3.13707386363636
"339",3.13707386363636
"340",3.68678977272727
"341",3.68678977272727
"342",3.4765625
"343",3.68678977272727
"344",3.13707386363636
"345",3.13707386363636
"346",3.13707386363636
"347",3.68678977272727
"348",3.13707386363636
"349",3.13707386363636
"350",3.71235795454545
"351",3.71235795454545
"352",3.13707386363636
"353",3.63565340909091
"354",3.65696022727273
"355",3.63565340909091
"356",3.63565340909091
"357",3.71235795454545
"358",3.63565340909091
"359",3.63565340909091
"360",3.63565340909091
"361",3.63565340909091
"362",4.33451704545455
"363",3.63565340909091
"364",4.24502840909091
"365",4.33451704545455
"366",4.89985795454545
"367",4.93678977272727
"368",3.95667613636364
"369",3.63565340909091
"370",3.63565340909091
"371",3.63565340909091
"372",4.7578125
"373",3.73508522727273
"374",3.65696022727273
"375",4.57741477272727
"376",4.76065340909091
"377",4.7734375
"378",3.71235795454545
"379",3.73508522727273
"380",3.73082386363636
"381",4.09019886363636
"382",4.87713068181818
"383",3.78053977272727
"384",3.63565340909091
"385",3.84588068181818
"386",3.63565340909091
"387",4.06321022727273
"388",3.73508522727273
"389",3.73508522727273
"390",3.66548295454545
"391",3.68821022727273
"392",4.06321022727273
"393",3.94815340909091
"394",4.15980113636364
"395",4.86292613636364
"396",4.87713068181818
"397",4.88707386363636
"398",3.63565340909091
"399",3.63565340909091
"400",3.63565340909091
"401",3.63565340909091
"402",3.63565340909091
"403",3.63565340909091
"404",3.63565340909091
"405",3.63565340909091
"406",3.63565340909091
"407",3.63565340909091
"408",3.63565340909091
"409",3.63565340909091
"410",3.63565340909091
"411",3.63565340909091
"412",3.63565340909091
"413",3.63565340909091
"414",3.63565340909091
"415",3.63565340909091
"416",3.63565340909091
"417",3.63565340909091
"418",3.63565340909091
"419",3.63565340909091
"420",3.63565340909091
"421",3.63565340909091
"422",3.63565340909091
