"","influenza_eig"
"1",0.195530157108509
"2",0.655583463674065
"3",0.847615921533237
"4",-0.104741053478963
"5",0.33870031359106
"6",0.33870031359105
"7",0.972376229440757
"8",-0.544682091676997
"9",0.879201624332243
"10",0.599662139337827
"11",0.57203836877858
"12",0.385036292702608
"13",0.185572585851803
"14",0.972376229440757
"15",0.226101871872138
"16",0.879201624332243
"17",0.972376229440757
"18",-0.961118998041576
"19",0.885571581109059
"20",0.77204508841386
"21",0.352516642493448
"22",0.285282749644607
"23",0.879201624332243
"24",-0.794534100444654
"25",0.885571581109061
"26",-0.541425798397434
"27",-0.487112667309583
"28",1.19155144490276
"29",0.312906520203846
"30",0.848015954502002
"31",0.312906520203846
"32",0.299842727819462
"33",0.972376229440757
"34",0.459681498314891
"35",0.913195351668299
"36",0.972376229440757
"37",-0.110923236359967
"38",0.198478101312912
"39",0.879201624332243
"40",0.312906520203846
"41",0.312906520203846
"42",0.872666065647954
"43",0.879201624332243
"44",0.879201624332243
"45",0.324140335416179
"46",0.758237646756999
"47",0.879201624332243
"48",0.452226806286253
"49",0.913195351668299
"50",0.872666065647954
"51",0.913195351668299
"52",0.879201624332243
"53",0.155704677852718
"54",0.879201624332243
"55",0.913195351668299
"56",156.020274993513
"57",-1.5191907951791
"58",0.411530487185281
"59",-14.2527432394335
"60",0.17498272017183
"61",0.31129258670202
"62",-1.00777652219803
"63",0.713454662003186
"64",0.713454662003186
"65",0.713454662003186
"66",0.713454662003186
"67",-1.2711912674998
"68",-0.0109939369130274
"69",-0.152124829009572
"70",0.879201624332243
"71",0.744164639733508
"72",0.743972410561778
"73",0.743972410561778
"74",0.743972410561778
"75",-0.284730274387683
"76",0.972376229440757
"77",0.2510560758521
"78",0.298261286260868
"79",-1.2229193737883
"80",0.457427072564958
"81",-2.55910630322678
"82",0.433490500031334
"83",0.433490500031335
"84",0.433490500031334
"85",0.14694516203452
"86",0.14694516203452
"87",0.14694516203452
"88",0.0117159482640546
"89",0.14694516203452
"90",0.405866729472087
"91",0.433490500031334
"92",0.29232559032343
"93",-0.489493867565736
"94",-1.53616815719863
"95",0.312906520203846
"96",0.29232559032343
"97",0.29232559032343
"98",-0.284853664833421
"99",0.312906520203846
"100",-0.573551168746913
"101",0.29232559032343
"102",-0.42899456326523
"103",-1.48584390196337
"104",-0.284853664833419
"105",-0.264272734953011
"106",-0.26427273495301
"107",-0.26427273495301
"108",0.29232559032343
"109",-0.264272734953011
"110",-0.959932993485682
"111",-0.28485366483342
"112",-0.28485366483342
"113",-1.18021053223471
"114",-0.264272734953012
"115",-0.0540189018834727
"116",0.422820744843133
"117",-0.890085775360706
"118",1.00947957797442
"119",-1.38099022018185
"120",-0.0540189018834737
"121",0.677427194211752
"122",0.422820744843133
"123",0.422820744843133
"124",0.422820744843133
"125",0.422820744843133
"126",0.422820744843133
"127",0.87425036420396
"128",0.422820744843133
"129",0.422820744843133
"130",0.422820744843133
"131",0.422820744843133
"132",0.422820744843133
"133",-0.0865434722670076
"134",0.0965616543617787
"135",0.373658605686749
"136",0.879201624332243
"137",-0.706643520792633
"138",-0.681900149763332
"139",0.156392394192515
"140",-0.331466859779627
"141",-2.23567335438976
"142",-0.314008987072409
"143",-0.433704895871596
"144",0.312906520203846
"145",0.373802477490277
"146",0.879201624332243
"147",0.312906520203846
"148",0.312906520203846
"149",0.726996073689866
"150",0.29232559032343
"151",0.913195351668299
"152",0.972376229440757
"153",0.847615921533237
"154",0.913195351668299
"155",0.47985057684549
"156",-1.03145227494868
"157",0.879201624332243
"158",1.03885758577159
"159",0.190615353342901
"160",0.879201624332243
"161",0.572306767627719
"162",0.879201624332243
"163",0.847615921533237
"164",1.03885758577159
"165",0.879201624332243
"166",0.972376229440757
"167",0.879201624332243
"168",0.47985057684549
"169",0.913195351668299
"170",0.47985057684549
"171",0.312906520203846
"172",1.00947957797442
"173",0.785861417316253
"174",0.879201624332243
"175",0.913195351668299
"176",0.268607689756029
"177",1.0340048483415
"178",0.786859351497142
"179",0.012986871548108
"180",-1.17948092486269
"181",-1.10809895002451
"182",0.131774649644916
"183",0.0708457192666712
"184",-0.202193140215092
"185",-1.12974730378598
"186",0.782485611744616
"187",-0.658848040448436
"188",-0.138908709459766
"189",0.708551304687583
"190",0.274810231923036
"191",0.312906520203846
"192",-0.78252173813907
"193",-0.189146036820565
"194",0.29232559032343
"195",-0.773304095166684
"196",-0.939538572224535
"197",-1.01428623207027
"198",-0.989919841824717
"199",-0.209785167615029
"200",-0.658848040448438
"201",-0.352507880383396
"202",-0.391121613723624
"203",-0.209785167615031
"204",-0.489621842438136
"205",-1.13046767438944
"206",-0.456930664459404
"207",-0.134916212088092
"208",-0.035277107652733
"209",-0.138908709459768
"210",-1.07135163058784
"211",0.29232559032343
"212",0.050019764048784
"213",-0.793885025047081
"214",0.0832297751307678
"215",-0.0479365424721503
"216",-1.63006315168573
"217",-0.501242934914064
"218",-0.398014926149249
"219",-0.944633786507735
"220",-0.774031655457497
"221",-0.867712210360411
"222",-1.28654533799681
"223",-0.10910540100085
"224",0.165669431996871
"225",-1.12128181450848
"226",-0.304667384541214
"227",0.0500197640487859
"228",-0.159489639340149
"229",-0.343829506244983
"230",-0.996293105240762
"231",0.050019764048786
"232",-0.999999999999993
"233",-0.76275194965378
"234",0.214844891489862
"235",-0.570298039995772
"236",-0.634177402377642
"237",-0.53182429841339
"238",-0.460637559218634
"239",0.167020989602882
"240",0.312906520203846
"241",0.120896222204048
"242",-0.156200729120948
"243",-1.4586993778262
"244",-0.0865434722670081
"245",-0.362169246081824
"246",-0.233576105761461
"247",-0.0659625423865978
"248",-0.556665468180585
"249",-0.160543185227052
"250",-0.933382175193912
"251",-0.668218565048628
"252",-0.725925063836219
"253",-0.591602100434209
"254",0.022867412119212
"255",0.0831066754021192
"256",0.326072416835955
"257",-0.403867021746339
"258",0.530892750675209
"259",0.278679846411336
"260",-0.303164216050847
"261",0.018874914747546
"262",1.15754550796217
"263",0.065712069794465
"264",0.0657120697944647
"265",0.905332603698303
"266",0.278679846411337
"267",-0.155361012241668
"268",-0.408413633384823
"269",0.0315343495669593
"270",0.0228674121192125
"271",1.15754550796217
"272",0.309258036610605
"273",-0.082131735080543
"274",0.123786883245641
"275",-0.236937519544594
"276",1.05358443849411
"277",0.312857566638826
"278",0.174564063437802
"279",1.15754550796217
"280",0.0228674121192124
"281",0.216625190400323
"282",0.0188749147475474
"283",1.15754550796217
"284",-0.125384422676546
"285",-0.812477902472707
"286",-0.8158160750296
"287",-1.30355859204402
"288",0.0657120697944633
"289",1.15754550796217
"290",-0.861499621208767
"291",0.666143876899816
"292",0.0188749147475465
"293",-0.450704176793251
"294",-0.556665468180582
"295",0.0456865552917311
"296",1.15754550796217
"297",0.0587623714900442
"298",0.905332603698303
"299",1.15754550796217
"300",0.0188749147475471
"301",1.15754550796217
"302",0.0228674121192124
"303",0.0188749147475468
"304",-1.62801681049526
"305",-0.0286532970561022
"306",-0.461998071878911
"307",-0.516947631761016
"308",0.312906520203846
"309",-1.14750751921777
"310",-0.676821378008539
"311",0.0928420197603785
"312",0.782485611744616
"313",-0.850495347270704
