"","influenza_hub"
"1",0.00851992355013492
"2",0.00134908227319092
"3",0.000702255802100966
"4",0.00690044591142687
"5",0.00450303872577788
"6",0.00450303872577788
"7",0.000694175263958589
"8",0.00932910187039785
"9",0.000383932530227403
"10",0.00473608102712879
"11",0.00543025629108738
"12",0.00306139573959045
"13",0.00127674359656129
"14",0.000694175263958589
"15",0.00216996014742777
"16",0.000383932530227403
"17",0.000694175263958589
"18",0.0139567398696504
"19",0.00184819826520252
"20",0.00262049785195232
"21",0.00329737032544694
"22",0.00171011241014243
"23",0.000383932530227403
"24",0.00862697678523239
"25",0.00184819826520252
"26",0.00423779267206947
"27",0.0129404250732343
"28",0.000462041018645064
"29",0.00101593714618384
"30",0.0021227090859576
"31",0.00101593714618384
"32",0.00443299494112905
"33",0.000694175263958589
"34",0.00801458112332466
"35",0.00115402300124393
"36",0.000694175263958589
"37",0.00650946113812317
"38",0.00286413541138636
"39",0.000383932530227403
"40",0.00101593714618384
"41",0.00101593714618384
"42",0.000260806450377448
"43",0.000383932530227403
"44",0.000383932530227403
"45",0.00178015619479126
"46",0.00210900471557997
"47",0.000383932530227403
"48",0.00373073913902808
"49",0.00115402300124393
"50",0.000260806450377448
"51",0.00115402300124393
"52",0.000383932530227403
"53",0.00448240854700862
"54",0.000383932530227403
"55",0.00115402300124393
"56",0.00796857832543517
"57",0.0128904924112237
"58",0.00740513451983044
"59",0.0118219631587655
"60",0.00081390807932154
"61",0.00307150028454874
"62",0.0078573729534983
"63",0.000672692739201057
"64",0.000672692739201057
"65",0.000672692739201057
"66",0.000672692739201057
"67",0.0197614673035936
"68",0.00349309758415586
"69",0.0163020252217047
"70",0.000383932530227403
"71",0.000788239931622962
"72",0.000459076380742418
"73",0.000459076380742418
"74",0.000459076380742418
"75",0.0180146980513978
"76",0.000694175263958589
"77",0.0166796830782369
"78",0.000565365613298968
"79",0.0169368584487601
"80",0.00113176911994348
"81",0.00985959434532507
"82",0.000490221762783952
"83",0.000490221762783952
"84",0.000490221762783952
"85",0.00116291450198501
"86",0.00116291450198501
"87",0.00116291450198501
"88",0.00123805835250002
"89",0.00116291450198501
"90",0.00118439702674254
"91",0.000490221762783952
"92",0.00127419074668733
"93",0.00331046479854426
"94",0.00818441090163482
"95",0.00101593714618384
"96",0.00127419074668733
"97",0.00127419074668733
"98",0.00178442168200922
"99",0.00101593714618384
"100",0.0162874734323538
"101",0.00127419074668733
"102",0.0172596985609656
"103",0.0102480316331333
"104",0.00178442168200922
"105",0.00152616808150573
"106",0.00152616808150573
"107",0.00152616808150573
"108",0.00127419074668733
"109",0.00152616808150573
"110",0.00340776168887636
"111",0.00178442168200922
"112",0.00178442168200922
"113",0.0117672153805689
"114",0.00152616808150573
"115",0.000896875204553334
"116",0.000510230935321895
"117",0.00745998633424915
"118",0.000449679708657868
"119",0.0151122686769892
"120",0.000896875204553334
"121",0.00091722367803727
"122",0.000510230935321895
"123",0.000510230935321895
"124",0.000510230935321895
"125",0.000510230935321895
"126",0.000510230935321895
"127",0.000524823559172884
"128",0.000510230935321895
"129",0.000510230935321895
"130",0.000510230935321895
"131",0.000510230935321895
"132",0.000510230935321895
"133",0.00143289152450285
"134",0.00297878045080666
"135",0.00122303808191398
"136",0.000383932530227403
"137",0.00857297576529233
"138",0.019305101187103
"139",0.0159461012561572
"140",0.0109989558095444
"141",0.0133302214543293
"142",0.00383930230043802
"143",0.00733368792915466
"144",0.00101593714618384
"145",0.00229717669098303
"146",0.000383932530227403
"147",0.00101593714618384
"148",0.00101593714618384
"149",0.00447527457675134
"150",0.00127419074668733
"151",0.00115402300124393
"152",0.000694175263958589
"153",0.000702255802100966
"154",0.00115402300124393
"155",0.00303656387506949
"156",0.00574827602417145
"157",0.000383932530227403
"158",7.00437846488321e-05
"159",0.00200078028802542
"160",0.000383932530227403
"161",0.00394912438680622
"162",0.000383932530227403
"163",0.000702255802100966
"164",7.00437846488321e-05
"165",0.000383932530227403
"166",0.000694175263958589
"167",0.000383932530227403
"168",0.00303656387506949
"169",0.00115402300124393
"170",0.00303656387506949
"171",0.00101593714618384
"172",0.000449679708657868
"173",0.00141482945162138
"174",0.000383932530227403
"175",0.00115402300124393
"176",0.00381175195358135
"177",0.00146166711037639
"178",2.29564086945409e-05
"179",0.00230612256241511
"180",0.0109688603335227
"181",0.0091898688990066
"182",0.00311467025205257
"183",0.00753926841958919
"184",0.0161733842156915
"185",0.00464936403806224
"186",0.00251606151274266
"187",0.0136419418401657
"188",0.0150385911733873
"189",0.0116224363621119
"190",0.00463950052368242
"191",0.00101593714618384
"192",0.015336679768708
"193",0.00429726865744999
"194",0.00127419074668733
"195",0.0137879956410578
"196",0.00999170378692874
"197",0.0130662664309815
