"","corona_lat"
"560",375.083333333333
"561",375.083333333333
"562",375.083333333333
"563",375.083333333333
"564",375.083333333333
"565",349.75
"566",349.75
"567",403.9
"568",403.9
"569",403.9
"570",403.9
"571",403.9
"572",424.316666666667
"573",508.25
"574",416.816666666667
"575",403.9
"576",403.9
"577",501.366666666667
"578",403.9
"579",403.9
"580",403.9
"581",403.9
"582",501.366666666667
"583",416.816666666667
"584",403.9
"585",416.816666666667
"586",403.9
"587",403.9
"588",403.9
"589",403.9
"590",403.9
"591",403.9
"592",403.9
"593",403.9
"594",403.9
"595",508.25
"596",403.9
"597",403.9
"598",403.9
"599",403.9
"600",403.9
"601",403.9
"602",416.816666666667
"603",508.25
"604",403.9
"605",403.9
"606",403.9
"607",403.9
"608",403.9
"609",403.9
"610",403.9
"611",403.9
"612",403.9
"613",403.9
"614",403.9
"615",403.9
"616",403.9
"617",403.9
"618",403.9
"619",403.9
"620",403.9
"621",508.25
"622",501.366666666667
"623",403.9
"624",403.9
"625",508.25
"626",416.816666666667
"627",403.9
"628",403.9
"629",403.9
"630",403.9
"631",403.9
"632",403.9
"633",508.25
"634",403.9
"635",403.9
"636",403.9
"637",501.366666666667
"638",403.9
"639",416.816666666667
"640",403.9
"641",403.9
"642",424.316666666667
"643",403.9
"644",403.9
"645",508.25
"646",403.9
"647",403.9
"648",416.75
"649",403.9
"650",403.9
"651",508.25
"652",403.9
"653",501.366666666667
"654",403.9
"655",403.9
"656",403.9
"657",416.816666666667
"658",403.9
"659",403.9
"660",403.9
"661",403.9
"662",403.9
"663",403.9
"664",416.816666666667
"665",403.9
"666",403.9
"667",403.9
"668",403.9
"669",403.9
"670",403.9
"671",403.9
"672",403.9
"673",416.816666666667
"674",403.9
"675",403.9
"676",403.9
"677",403.9
"678",403.9
"679",403.9
"680",403.9
"681",403.9
"682",403.9
"683",403.9
"684",403.9
"685",403.9
"686",403.9
"687",403.9
"688",403.9
"689",403.9
"690",403.9
"691",403.9
"692",403.9
"693",292.1
"694",292.1
"695",292.1
"696",292.1
"697",292.1
"698",345.7
"699",292.1
"700",462.833333333333
"701",462.833333333333
"702",462.833333333333
"703",462.833333333333
"704",543.25
"705",543.25
"706",486.5
"707",543.25
"708",543.25
"709",462.833333333333
"710",543.25
"711",471.25
"712",462.833333333333
"713",462.833333333333
"714",462.833333333333
"715",462.833333333333
"716",543.25
"717",462.833333333333
"718",462.833333333333
"719",462.833333333333
"720",462.833333333333
"721",556.25
"722",462.833333333333
"723",604.916666666667
"724",462.833333333333
"725",462.833333333333
"726",462.833333333333
"727",462.833333333333
"728",462.833333333333
"729",462.833333333333
"730",462.833333333333
"731",462.833333333333
"732",543.25
"733",462.833333333333
"734",556.25
"735",462.833333333333
"736",462.833333333333
"737",462.833333333333
"738",462.833333333333
"739",556.25
"740",543.25
"741",556.25
"742",462.833333333333
"743",462.833333333333
"744",556.25
"745",462.833333333333
"746",482.5
"747",462.833333333333
"748",556.25
"749",462.833333333333
"750",462.833333333333
"751",462.833333333333
"752",462.833333333333
"753",556.25
"754",462.833333333333
"755",462.833333333333
"756",462.833333333333
"757",462.833333333333
"758",462.833333333333
"759",482.5
"760",543.25
"761",543.25
"762",543.25
"763",482.5
"764",462.833333333333
"765",462.833333333333
"766",462.833333333333
"767",556.25
"768",462.833333333333
"769",543.25
"770",462.833333333333
"771",462.833333333333
"772",462.833333333333
"773",462.833333333333
"774",543.25
"775",543.25
"776",462.833333333333
"777",462.833333333333
"778",462.833333333333
"779",471.25
"780",556.25
"781",543.25
"782",556.25
"783",442.7
"784",508.616666666667
"785",442.7
"786",508.616666666667
"787",508.616666666667
"788",442.7
"789",442.7
"790",442.7
"791",508.616666666667
"792",442.7
"793",442.7
"794",442.7
"795",508.616666666667
"796",442.7
"797",442.7
"798",508.616666666667
"799",508.616666666667
"800",442.7
"801",508.616666666667
"802",508.616666666667
"803",508.616666666667
"804",463.366666666667
"805",508.616666666667
"806",442.7
"807",508.616666666667
"808",508.616666666667
"809",442.7
"810",508.616666666667
"811",442.7
"812",508.616666666667
"813",508.616666666667
"814",442.7
"815",442.7
"816",442.7
"817",442.7
"818",508.616666666667
"819",442.7
"820",442.7
"821",442.7
"822",508.616666666667
"823",508.616666666667
"824",442.7
"825",442.7
"826",508.616666666667
"827",508.616666666667
"828",508.616666666667
"829",442.7
"830",442.7
"831",442.7
"832",508.616666666667
"833",508.616666666667
"834",442.7
"835",508.616666666667
"836",442.7
"837",442.7
"838",508.616666666667
"839",442.7
"840",442.7
"841",442.7
"842",508.616666666667
"843",508.616666666667
"844",442.7
"845",508.616666666667
"846",508.616666666667
"847",442.7
"848",442.7
"849",543.25
"850",442.7
"851",442.7
"852",508.616666666667
"853",508.616666666667
"854",508.616666666667
"855",442.7
"856",442.7
"857",442.7
"858",442.7
"859",508.616666666667
"860",442.7
"861",442.7
"862",442.7
"863",442.7
"864",508.616666666667
"865",442.7
"866",508.616666666667
"867",508.616666666667
"868",508.616666666667
"869",442.7
"870",442.7
"871",442.7
"872",442.7
"873",442.7
"874",442.7
"875",508.616666666667
"876",465.866666666667
"877",519.416666666667
"878",508.616666666667
"879",508.616666666667
"880",442.7
"881",508.616666666667
"882",508.616666666667
"883",442.7
"884",442.7
"885",508.616666666667
"886",442.7
"887",508.616666666667
"888",442.7
"889",508.616666666667
"890",508.616666666667
"891",442.7
"892",442.7
"893",508.616666666667
"894",508.616666666667
"895",442.7
"896",442.7
"897",442.7
"898",508.616666666667
"899",508.616666666667
"900",508.616666666667
"901",508.616666666667
"902",442.7
"903",508.616666666667
"904",442.7
"905",442.7
"906",442.7
"907",442.7
"908",508.616666666667
"909",442.7
"910",508.616666666667
"911",442.7
"912",442.7
"913",508.616666666667
"914",442.7
"915",442.7
"916",442.7
"917",442.7
"918",442.7
"919",442.7
"920",508.616666666667
"921",442.7
"922",442.7
"923",508.616666666667
"924",442.7
"925",442.7
"926",442.7
"927",508.616666666667
"928",442.7
"929",442.7
"930",442.7
"931",442.7
"932",442.7
"933",508.616666666667
"934",442.7
"935",508.616666666667
"936",508.616666666667
"937",508.616666666667
"938",508.616666666667
"939",442.7
"940",508.616666666667
"941",508.616666666667
"942",442.7
"943",508.616666666667
"944",508.616666666667
"945",442.7
"946",442.7
"947",442.7
"948",442.7
"949",442.7
"950",442.7
"951",442.7
"952",508.616666666667
"953",442.7
"954",508.616666666667
"955",442.7
"956",442.7
"957",508.616666666667
"958",508.616666666667
"959",442.7
"960",508.616666666667
"961",442.7
"962",508.616666666667
"963",442.7
"964",508.616666666667
"965",508.616666666667
"966",442.7
"967",508.616666666667
"968",442.7
"969",508.616666666667
"970",442.7
"971",442.7
"972",442.7
"973",442.7
"974",508.616666666667
"975",442.7
"976",442.7
"977",442.7
"978",442.7
"979",442.7
"980",508.616666666667
"981",508.616666666667
"982",442.7
"983",442.7
"984",442.7
"985",508.616666666667
"986",442.7
"987",465.866666666667
"988",442.7
"989",508.616666666667
"990",508.616666666667
"991",442.7
"992",442.7
"993",442.7
"994",442.7
"995",508.616666666667
"996",442.7
"997",442.7
"998",442.7
"999",508.616666666667
"1000",508.616666666667
"1001",508.616666666667
"1002",442.7
"1003",442.7
"1004",442.7
"1005",508.616666666667
"1006",442.7
"1007",508.616666666667
"1008",442.7
"1009",508.616666666667
"1010",508.616666666667
"1011",508.616666666667
"1012",442.7
"1013",442.7
"1014",442.7
"1015",508.616666666667
"1016",442.7
"1017",442.7
"1018",442.7
"1019",508.616666666667
"1020",442.7
"1021",442.7
"1022",508.616666666667
"1023",442.7
"1024",508.616666666667
"1025",442.7
"1026",508.616666666667
"1027",442.7
"1028",465.866666666667
"1029",442.7
"1030",508.616666666667
"1031",452
"1032",442.7
"1033",442.7
"1034",508.616666666667
"1035",442.7
"1036",442.7
"1037",508.616666666667
"1038",508.616666666667
"1039",442.7
"1040",442.7
"1041",442.7
"1042",442.7
"1043",442.7
"1044",442.7
"1045",442.7
"1046",508.616666666667
"1047",442.7
"1048",508.616666666667
"1049",442.7
"1050",442.7
"1051",442.7
"1052",442.7
"1053",508.616666666667
"1054",508.616666666667
"1055",442.7
"1056",442.7
"1057",442.7
"1058",442.7
"1059",508.616666666667
"1060",508.616666666667
"1061",508.616666666667
"1062",442.7
"1063",508.616666666667
"1064",442.7
"1065",442.7
"1066",508.616666666667
"1067",508.616666666667
"1068",442.7
"1069",508.616666666667
"1070",465.866666666667
"1071",508.616666666667
"1072",508.616666666667
"1073",442.7
"1074",442.7
"1075",442.7
"1076",508.616666666667
"1077",373.85
"1078",373.85
"1079",373.85
"1080",373.85
"1081",373.85
"1082",373.85
"1083",373.85
"1084",373.85
"1085",373.85
"1086",373.85
"1087",373.85
"1088",373.85
"1089",373.85
"1090",373.85
"1091",373.85
"1092",373.85
"1093",373.85
"1094",373.85
"1095",373.85
"1096",373.85
"1097",373.85
"1098",373.85
"1099",373.85
"1100",373.85
"1101",373.85
"1102",373.85
"1103",373.85
"1104",373.85
"1105",373.85
"1106",373.85
"1107",373.85
"1108",373.85
"1109",373.85
"1110",373.85
"1111",373.85
"1112",373.85
"1113",373.85
"1114",373.85
"1115",453.7
"1116",453.7
"1117",453.7
"1118",453.7
"1119",453.7
"1120",453.7
"1121",453.7
"1122",453.7
"1123",453.7
"1124",453.7
"1125",453.7
"1126",453.7
"1127",453.7
"1128",453.7
"1129",453.7
"1130",453.7
"1131",453.7
"1132",453.7
"1133",453.7
"1134",453.7
"1135",453.7
"1136",453.7
"1137",453.7
"1138",453.7
"1139",453.7
"1140",453.7
"1141",453.7
"1142",453.7
"1143",453.7
"1144",453.7
"1145",453.7
"1146",453.7
"1147",453.7
"1148",453.7
"1149",453.7
"1150",453.7
"1151",453.7
"1152",453.7
"1153",453.7
"1154",453.7
"1155",453.7
"1156",453.7
"1157",453.7
"1158",453.7
"1159",453.7
"1160",453.7
"1161",453.7
"1162",453.7
"1163",453.7
"1164",453.7
"1165",453.7
"1166",453.7
"1167",453.7
"1168",453.7
"1169",453.7
"1170",453.7
"1171",453.7
"1172",453.7
"1173",453.7
"1174",453.7
"1175",453.7
"1176",453.7
"1177",453.7
"1178",453.7
"1179",453.7
"1180",453.7
"1181",453.7
"1182",453.7
"1183",453.7
"1184",453.7
"1185",453.7
"1186",464.5
"1187",453.7
"1188",453.7
"1189",453.7
"1190",453.7
"1191",453.7
"1192",453.7
"1193",453.7
"1194",453.7
"1195",453.7
"1196",453.7
"1197",453.7
"1198",453.7
"1199",453.7
"1200",453.7
"1201",453.7
"1202",453.7
"1203",453.7
"1204",464.5
"1205",453.7
"1206",453.7
"1207",453.7
"1208",453.7
"1209",453.7
"1210",453.7
"1211",453.7
"1212",453.7
"1213",453.7
"1214",453.7
"1215",453.7
"1216",453.7
"1217",453.7
"1218",453.7
"1219",453.7
"1220",453.7
"1221",453.7
"1222",453.7
"1223",453.7
"1224",453.7
"1225",453.7
"1226",453.7
"1227",453.7
"1228",453.7
"1229",453.7
"1230",453.7
"1231",453.7
"1232",453.7
"1233",453.7
"1234",453.7
"1235",453.7
"1236",453.7
"1237",453.7
"1238",453.7
"1239",453.7
"1240",453.7
"1241",453.7
"1242",453.7
"1243",453.7
"1244",453.7
"1245",453.7
"1246",453.7
"1247",453.7
"1248",453.7
"1249",453.7
"1250",453.7
"1251",453.7
"1252",453.7
"1253",453.7
"1254",453.7
"1255",453.7
"1256",453.7
"1257",453.7
"1258",453.7
"1259",453.7
"1260",453.7
"1261",453.7
"1262",453.7
"1263",453.7
"1264",453.7
"1265",453.7
"1266",453.7
"1267",453.7
"1268",453.7
"1269",453.7
"1270",453.7
"1271",453.7
"1272",453.7
"1273",453.7
"1274",453.7
"1275",453.7
"1276",453.7
"1277",453.7
"1278",453.7
"1279",453.7
"1280",453.7
"1281",453.7
"1282",453.7
"1283",453.7
"1284",453.7
"1285",453.7
"1286",453.7
"1287",453.7
"1288",453.7
"1289",453.7
"1290",453.7
"1291",453.7
"1292",453.7
"1293",453.7
"1294",453.7
"1295",453.7
"1296",453.7
"1297",453.7
"1298",453.7
"1299",453.7
"1300",453.7
"1301",453.7
"1302",453.7
"1303",453.7
"1304",453.7
"1305",453.7
"1306",453.7
"1307",453.7
"1308",453.7
"1309",453.7
"1310",453.7
"1311",453.7
"1312",453.7
"1313",453.7
"1314",453.7
"1315",453.7
"1316",453.7
"1317",453.7
"1318",453.7
"1319",453.7
"1320",453.7
"1321",453.7
"1322",453.7
"1323",453.7
"1324",453.7
"1325",453.7
"1326",453.7
"1327",453.7
"1328",453.7
"1329",453.7
"1330",453.7
"1331",453.7
"1332",453.7
"1333",453.7
"1334",453.7
"1335",453.7
"1336",377.85
"1337",377.85
"1338",377.85
"1339",377.85
"1340",377.85
"1341",377.85
"1342",377.85
"1343",377.85
"1344",377.85
"1345",377.85
"1346",377.85
"1347",377.85
"1348",377.85
"1349",377.85
"1350",377.85
"1351",377.85
"1352",377.85
"1353",377.85
"1354",377.85
"1355",377.85
"1356",362.833333333333
"1357",362.833333333333
"1358",362.833333333333
"1359",362.833333333333
"1360",362.833333333333
"1361",362.833333333333
"1362",362.833333333333
"1363",362.833333333333
"1364",362.833333333333
"1365",362.833333333333
"1366",362.833333333333
"1367",362.833333333333
"1368",362.833333333333
"1369",362.833333333333
"1370",362.833333333333
"1371",362.833333333333
"1372",362.833333333333
"1373",362.833333333333
"1374",362.833333333333
"1375",362.833333333333
"1376",362.833333333333
"1377",362.833333333333
"1378",362.833333333333
"1379",462.833333333333
"1380",462.833333333333
"1381",462.833333333333
"1382",462.833333333333
"1383",462.833333333333
"1384",462.833333333333
"1385",462.833333333333
"1386",462.833333333333
"1387",462.833333333333
"1388",462.833333333333
"1389",462.833333333333
"1390",462.833333333333
"1391",292.1
"1392",338.283333333333
"1393",338.283333333333
"1394",338.283333333333
"1395",338.283333333333
"1396",472.916666666667
"1397",496.166666666667
"1398",762.833333333333
"1399",541.15
"1400",380.833333333333
"1401",455.866666666667
"1402",473.15
"1403",609.533333333333
"1404",477.15
"1405",711.383333333333
"1406",483.15
"1407",530.483333333333
"1408",528.833333333333
"1409",740.716666666667
