"","corona_lin"
"1",340.629553264605
"2",357.587301587302
"3",417.888701517707
"4",417.888701517707
"5",417.888701517707
"6",466.681732580038
"7",417.888701517707
"8",340.629553264605
"9",340.629553264605
"10",340.629553264605
"11",417.888701517707
"12",417.888701517707
"13",340.629553264605
"14",340.629553264605
"15",386.595943837754
"16",340.629553264605
"17",340.629553264605
"18",421.621437686091
"19",422.520034100597
"20",275.189339255969
"21",418.948436179205
"22",421.621437686091
"23",324.249918220478
"24",324.249918220478
"25",347.800701754386
"26",347.800701754386
"27",347.800701754386
"28",347.800701754386
"29",347.800701754386
"30",347.800701754386
"31",275.189339255969
"32",422.520034100597
"33",275.189339255969
"34",275.189339255969
"35",275.189339255969
"36",275.189339255969
"37",275.189339255969
"38",275.189339255969
"39",275.189339255969
"40",275.189339255969
"41",275.189339255969
"42",275.189339255969
"43",275.189339255969
"44",275.189339255969
"45",275.189339255969
"46",459.968445475638
"47",410.108398841539
"48",376.036418816388
"49",376.036418816388
"50",392.722662440571
"51",376.036418816388
"52",452.204379562044
"53",376.036418816388
"54",376.036418816388
"55",376.036418816388
"56",376.036418816388
"57",383.307037896365
"58",376.036418816388
"59",376.036418816388
"60",376.036418816388
"61",376.036418816388
"62",376.036418816388
"63",376.036418816388
"64",376.036418816388
"65",376.036418816388
"66",489.497283950617
"67",376.036418816388
"68",443.305903398927
"69",376.036418816388
"70",376.036418816388
"71",376.036418816388
"72",376.036418816388
"73",376.036418816388
"74",376.036418816388
"75",376.036418816388
"76",376.036418816388
"77",376.036418816388
"78",417.888701517707
"79",417.888701517707
"80",417.888701517707
"81",417.888701517707
"82",417.888701517707
"83",417.888701517707
"84",417.888701517707
"85",417.888701517707
"86",417.888701517707
"87",417.888701517707
"88",417.888701517707
"89",417.888701517707
"90",417.888701517707
"91",417.888701517707
"92",417.888701517707
"93",417.888701517707
"94",417.888701517707
"95",417.888701517707
"96",417.888701517707
"97",417.888701517707
"98",417.888701517707
"99",417.888701517707
"100",417.888701517707
"101",417.888701517707
"102",417.888701517707
"103",417.888701517707
"104",417.888701517707
"105",419.835662854723
"106",417.888701517707
"107",417.888701517707
"108",417.888701517707
"109",417.888701517707
"110",417.888701517707
