"","influenza_av","influenza_bar","influenza_clo","influenza_lat","influenza_res","influenza_dec","influenza_dif","influenza_geo","influenza_la","influenza_lev","influenza_lin","influenza_lob","influenza_mar","influenza_rad","influenza_eig","influenza_sub","influenza_bet","influenza_ecc","influenza_deg","influenza_auth","influenza_hub"
"1",3.25589706933524,0.000109769484083425,0.000109769484083425,958.416666666667,369.6875,369.6875,2304,1055,4628,-0.939524550316278,858.135675082327,5,0.000270131583411324,3.74427753934192,0.195530157108509,25901695828217409536,0.00017587428248976,4,5,0.00851992355013492,0.00851992355013492
"2",3.58899213724089,9.95817566221868e-05,9.95817566221868e-05,841.483333333333,282.265625,282.265625,693,592,1392,-0.970799346131414,778.491933877714,3,0.000162337115880431,3.41094420600858,0.655583463674065,649431987666817536,7.40930292960665e-05,6,3,0.00134908227319092,0.00134908227319092
"3",3.71979985704074,9.60799385088394e-05,9.60799385088394e-05,795.3,247.90625,247.90625,372,412,744,-0.994623655913978,751.116064565719,1,5.43106684366096e-05,3.28004291845494,0.847615921533237,175973583088175200,0,6,1,0.000702255802100966,0.000702255802100966
"4",2.92280200142959,0.00012227928588897,0.00012227928588897,1074.91666666667,457.0625,457.0625,2376,1521,4772,-0.975851681959254,955.932501834189,5,0.00027187949015131,4.07761087267525,-0.104741053478963,16990693885034674176,0.000491958999331281,4,5,0.00690044591142687,0.00690044591142687
"5",3.05075053609721,0.000117150890346767,0.000117150890346767,1030.98333333333,424.015625,424.015625,1916,1342,3862,-0.926763155479649,915.840674789128,6,0.0003241914830299,3.94957081545064,0.33870031359106,7235493663478916096,0.000626617113453415,6,6,0.00450303872577788,0.00450303872577788
"6",3.05075053609721,0.000117150890346767,0.000117150890346767,1030.98333333333,424.015625,424.015625,1916,1342,3862,-0.926763155479649,915.840674789128,6,0.000324191483029884,3.94957081545064,0.33870031359105,7235493663479165952,0.000626617113453415,6,6,0.00450303872577788,0.00450303872577788
"7",3.75625446747677,9.51474785918173e-05,9.51474785918173e-05,782.55,238.34375,238.34375,321,361,642,-0.993769470404984,743.826450999049,1,5.42953011880751e-05,3.24356223175966,0.972376229440757,171947186189313472,0,6,1,0.000694175263958589,0.000694175263958589
"8",2.8927805575411,0.000123548307388189,0.000123548307388189,1087.08333333333,465.6875,465.6875,2974,1559,6020,-0.929989383069733,965.853224610823,9,0.000488252552559948,4.10765379113019,-0.544682091676997,31055353289850257408,0.00115021859333339,4,9,0.00932910187039785,0.00932910187039785
"9",3.85346676197284,9.2747171211278e-05,9.2747171211278e-05,748.55,212.84375,212.84375,185,225,370,-0.989189189189189,725.061769616027,1,5.40790217999874e-05,3.14628040057225,0.879201624332243,52597684535322640,0,6,1,0.000383932530227403,0.000383932530227403
"10",3.1879914224446,0.000112107623318386,0.000112107623318386,982.566666666667,387.828125,387.828125,1663,1151,3346,-0.963809394464136,876.414349775785,5,0.000271295142161537,3.81223175965665,0.599662139337827,8003778313342367744,0.000330426780909418,6,5,0.00473608102712879,0.00473608102712879
"11",3.12080057183703,0.000114521300961979,0.000114521300961979,1006.48333333333,405.640625,405.640625,1984,1244,3998,-0.957830315478249,895.283554741182,6,0.000325602920561909,3.87947067238913,0.57203836877858,10521979668027052032,0.000461881418125945,6,6,0.00543025629108738,0.00543025629108738
"12",3.25232308791994,0.00010989010989011,0.00010989010989011,960.483333333333,371.140625,371.140625,1590,1060,3210,-0.921822494973351,859.078681318681,6,0.00032387530769991,3.74785407725322,0.385036292702608,3344227022596114944,0.000530386168925269,6,6,0.00306139573959045,0.00306139573959045
"13",3.61829878484632,9.87751876728566e-05,9.87751876728566e-05,830.7,274.296875,274.296875,557,552,1116,-0.982074715408049,772.186487554326,2,0.000108313425854712,3.38161659513591,0.185572585851803,581653278267450496,3.37114701498168e-05,6,2,0.00127674359656129,0.00127674359656129
"14",3.75625446747677,9.51474785918173e-05,9.51474785918173e-05,782.55,238.34375,238.34375,321,361,642,-0.993769470404984,743.826450999049,1,5.42953011880679e-05,3.24356223175966,0.972376229440757,171947186189320416,0,6,1,0.000694175263958589,0.000694175263958589
"15",3.45961401000715,0.000103305785123967,0.000103305785123967,886.616666666667,316.109375,316.109375,990,773,1986,-0.980887959742133,807.604958677686,3,0.000162818281568455,3.54041487839771,0.226101871872138,1680197444157924096,6.5889996918995e-05,6,3,0.00216996014742777,0.00216996014742777
"16",3.85346676197284,9.2747171211278e-05,9.2747171211278e-05,748.55,212.84375,212.84375,185,225,370,-0.989189189189189,725.061769616027,1,5.40790217999997e-05,3.14628040057225,0.879201624332243,52597684535322760,0,6,1,0.000383932530227403,0.000383932530227403
"17",3.75625446747677,9.51474785918173e-05,9.51474785918173e-05,782.55,238.34375,238.34375,321,361,642,-0.993769470404984,743.826450999049,1,5.4295301188078e-05,3.24356223175966,0.972376229440757,171947186189320416,0,6,1,0.000694175263958589,0.000694175263958589
"18",2.86204431736955,0.000124875124875125,0.000124875124875125,1099.08333333333,474.3125,474.3125,4063,1599,8258,-0.85816552581641,976.225774225774,12,0.000648203485877704,4.13841201716738,-0.961118998041576,6.9506396175465e+19,0.00137826027003422,4,12,0.0139567398696504,0.0139567398696504
"19",3.56111508220157,0.000100361300682457,0.000100361300682457,851.233333333333,289.578125,289.578125,907,631,1820,-0.979622117652121,784.586109995986,3,0.000162723522935677,3.43884120171674,0.885571581109059,1218860271354875904,3.80937465977766e-05,6,3,0.00184819826520252,0.00184819826520252
