"","corona_av"
"1",4.12765957446809
"2",3.93191489361702
"3",3.3645390070922
"4",3.3645390070922
"5",3.3645390070922
"6",3.01276595744681
"7",3.3645390070922
"8",4.12765957446809
"9",4.12765957446809
"10",4.12765957446809
"11",3.3645390070922
"12",3.3645390070922
"13",4.12765957446809
"14",4.12765957446809
"15",3.63687943262411
"16",4.12765957446809
"17",4.12765957446809
"18",3.33475177304965
"19",3.32765957446809
"20",5.10921985815603
"21",3.35602836879433
"22",3.33475177304965
"23",4.33617021276596
"24",4.33617021276596
"25",4.04255319148936
"26",4.04255319148936
"27",4.04255319148936
"28",4.04255319148936
"29",4.04255319148936
"30",4.04255319148936
"31",5.10921985815603
"32",3.32765957446809
"33",5.10921985815603
"34",5.10921985815603
"35",5.10921985815603
"36",5.10921985815603
"37",5.10921985815603
"38",5.10921985815603
"39",5.10921985815603
"40",5.10921985815603
"41",5.10921985815603
"42",5.10921985815603
"43",5.10921985815603
"44",5.10921985815603
"45",5.10921985815603
"46",3.05673758865248
"47",3.42836879432624
"48",3.73900709219858
"49",3.73900709219858
"50",3.58014184397163
"51",3.73900709219858
"52",3.10921985815603
"53",3.73900709219858
"54",3.73900709219858
"55",3.73900709219858
"56",3.73900709219858
"57",3.66808510638298
"58",3.73900709219858
"59",3.73900709219858
"60",3.73900709219858
"61",3.73900709219858
"62",3.73900709219858
"63",3.73900709219858
"64",3.73900709219858
"65",3.73900709219858
"66",2.87234042553191
"67",3.73900709219858
"68",3.17163120567376
"69",3.73900709219858
"70",3.73900709219858
"71",3.73900709219858
"72",3.73900709219858
"73",3.73900709219858
"74",3.73900709219858
"75",3.73900709219858
"76",3.73900709219858
"77",3.73900709219858
"78",3.3645390070922
"79",3.3645390070922
"80",3.3645390070922
"81",3.3645390070922
"82",3.3645390070922
"83",3.3645390070922
"84",3.3645390070922
"85",3.3645390070922
"86",3.3645390070922
"87",3.3645390070922
"88",3.3645390070922
"89",3.3645390070922
"90",3.3645390070922
"91",3.3645390070922
"92",3.3645390070922
"93",3.3645390070922
"94",3.3645390070922
"95",3.3645390070922
"96",3.3645390070922
"97",3.3645390070922
"98",3.3645390070922
"99",3.3645390070922
"100",3.3645390070922
"101",3.3645390070922
"102",3.3645390070922
"103",3.3645390070922
"104",3.3645390070922
"105",3.34893617021277
"106",3.3645390070922
"107",3.3645390070922
"108",3.3645390070922
"109",3.3645390070922
"110",3.3645390070922
"111",3.3645390070922
"112",3.3645390070922
"113",3.3645390070922
"114",3.3645390070922
"115",3.3645390070922
"116",3.3645390070922
"117",3.3645390070922
"118",3.3645390070922
"119",3.3645390070922
"120",3.3645390070922
"121",3.3645390070922
"122",3.3645390070922
"123",3.3645390070922
"124",3.3645390070922
"125",3.3645390070922
"126",3.3645390070922
"127",3.3645390070922
"128",3.3645390070922
"129",3.3645390070922
"130",3.3645390070922
"131",3.3645390070922
"132",3.3645390070922
"133",3.3645390070922
"134",2.56312056737589
"135",3.3645390070922
"136",3.3645390070922
"137",3.3645390070922
"138",3.3645390070922
"139",3.3645390070922
"140",3.3645390070922
"141",3.3645390070922
"142",3.3645390070922
"143",3.3645390070922
"144",3.3645390070922
"145",3.3645390070922
"146",3.3645390070922
"147",3.3645390070922
"148",3.3645390070922
"149",3.34326241134752
"150",3.3645390070922
"151",3.3645390070922
"152",3.3645390070922
"153",3.10921985815603
"154",3.3645390070922
"155",2.56312056737589
"156",3.3645390070922
"157",3.3645390070922
"158",3.3645390070922
"159",3.3645390070922
"160",2.83687943262411
"161",3.3645390070922
"162",3.3645390070922
"163",3.3645390070922
"164",2.56312056737589
"165",2.83687943262411
"166",3.3645390070922
"167",3.3645390070922
"168",2.83687943262411
"169",3.33475177304965
"170",3.3645390070922
"171",3.3645390070922
"172",2.56312056737589
"173",3.3645390070922
"174",3.3645390070922
"175",2.56312056737589
"176",3.3645390070922
"177",2.91063829787234
"178",3.3645390070922
"179",2.91063829787234
"180",2.91063829787234
"181",2.56312056737589
"182",3.3645390070922
"183",2.83687943262411
"184",3.3645390070922
"185",3.3645390070922
"186",3.3645390070922
"187",3.3645390070922
"188",3.3645390070922
"189",3.3645390070922
"190",3.3645390070922
"191",3.3645390070922
"192",3.3645390070922
"193",3.3645390070922
"194",3.3645390070922
"195",3.3645390070922
"196",3.3645390070922
"197",3.3645390070922
"198",3.3645390070922
"199",3.3645390070922
"200",3.3645390070922
"201",3.3645390070922
"202",3.3645390070922
"203",3.3645390070922
"204",3.3645390070922
"205",3.3645390070922
"206",3.3645390070922
"207",3.42127659574468
"208",4.03404255319149
"209",4.03404255319149
"210",3.13049645390071
"211",3.50212765957447
"212",3.50212765957447
"213",3.50212765957447
"214",3.50212765957447
"215",3.50212765957447
"216",3.13049645390071
"217",3.50212765957447
"218",4.02127659574468
"219",4.02127659574468
"220",4.02127659574468
"221",4.02127659574468
"222",4.02127659574468
"223",4.02127659574468
"224",4.02127659574468
"225",4.02127659574468
"226",4.02127659574468
"227",3.3645390070922
"228",3.3645390070922
"229",3.34893617021277
"230",3.3645390070922
"231",3.3645390070922
"232",3.3645390070922
"233",3.3645390070922
"234",3.3645390070922
"235",3.3645390070922
"236",3.3645390070922
"237",3.3645390070922
"238",3.10921985815603
"239",3.3645390070922
"240",3.3645390070922
"241",3.3645390070922
"242",3.3645390070922
"243",3.3645390070922
"244",3.3645390070922
"245",3.3645390070922
"246",3.3645390070922
"247",3.3645390070922
"248",3.3645390070922
"249",3.3645390070922
"250",3.3645390070922
"251",3.3645390070922
"252",3.3645390070922
"253",3.3645390070922
"254",3.3645390070922
"255",3.3645390070922
"256",3.3645390070922
"257",3.3645390070922
"258",3.3645390070922
"259",3.3645390070922
"260",3.3645390070922
"261",3.3645390070922
"262",3.3645390070922
"263",3.3645390070922
"264",3.3645390070922
"265",3.3645390070922
"266",3.3645390070922
"267",3.92056737588652
"268",3.92056737588652
"269",3.89787234042553
"270",3.89787234042553
"271",3.89787234042553
"272",3.37304964539007
"273",3.89787234042553
"274",3.89787234042553
"275",3.89787234042553
"276",3.89787234042553
"277",3.89787234042553
"278",3.89787234042553
"279",3.89787234042553
"280",3.89787234042553
"281",3.89787234042553
