"","influenza_res"
"421",441.59375
"422",290.234375
"423",290.234375
"424",290.234375
"425",290.234375
"426",290.234375
"427",290.234375
"428",290.234375
"429",290.234375
"430",537.125
"431",290.234375
"432",290.234375
"433",290.234375
"434",290.234375
"435",290.234375
"436",290.234375
"437",290.234375
"438",290.234375
"439",290.234375
"440",290.234375
"441",290.234375
"442",290.234375
"443",290.234375
"444",290.234375
"445",290.234375
"446",290.234375
"447",290.234375
"448",290.234375
"449",290.234375
"450",290.234375
"451",290.234375
"452",290.234375
"453",290.234375
"454",290.234375
"455",290.234375
"456",290.234375
"457",290.234375
"458",290.234375
"459",290.234375
"460",290.234375
"461",577.8125
"462",290.234375
"463",442.25
"464",517.625
"465",452.5625
"466",375.828125
"467",492.5
"468",409.625
"469",290.234375
"470",290.234375
"471",460.4375
"472",290.234375
"473",290.234375
"474",302.796875
"475",470.375
"476",457.4375
"477",456.5
"478",290.234375
"479",290.234375
"480",290.234375
"481",290.234375
"482",290.234375
"483",312.921875
"484",517.8125
"485",491.75
"486",290.234375
"487",290.234375
"488",290.234375
"489",290.234375
"490",290.234375
"491",290.234375
"492",290.234375
"493",290.234375
"494",290.234375
"495",290.234375
"496",290.234375
"497",290.234375
"498",290.234375
"499",290.234375
"500",290.234375
"501",290.234375
"502",290.234375
"503",290.234375
"504",290.234375
"505",290.234375
"506",290.234375
"507",290.234375
"508",290.234375
"509",290.234375
"510",360.265625
"511",290.234375
"512",290.234375
"513",290.234375
"514",290.234375
"515",290.234375
"516",290.234375
"517",290.234375
"518",290.234375
"519",290.234375
"520",290.234375
"521",290.234375
"522",316.859375
"523",290.234375
"524",290.234375
"525",290.234375
"526",290.234375
"527",290.234375
"528",290.234375
"529",290.234375
"530",290.234375
"531",290.234375
"532",290.234375
"533",290.234375
"534",290.234375
"535",290.234375
"536",290.234375
"537",290.234375
"538",290.234375
"539",290.234375
"540",290.234375
"541",313.953125
"542",348.546875
"543",290.234375
"544",290.234375
"545",290.234375
"546",581.9375
"547",525.6875
"548",290.234375
"549",511.25
"550",290.234375
"551",437.75
"552",290.234375
"553",290.234375
"554",460.4375
"555",290.234375
"556",290.234375
"557",290.234375
"558",290.234375
"559",290.234375
"560",290.234375
"561",290.234375
"562",290.234375
"563",290.234375
"564",290.234375
"565",290.234375
"566",290.234375
"567",384.171875
"568",297.03125
"569",441.03125
"570",226.296875
"571",218.28125
"572",519.3125
"573",465.21875
"574",313.203125
"575",513.6875
"576",527.1875
"577",467.65625
"578",440.84375
"579",432.21875
"580",453.59375
"581",486.03125
"582",508.8125
"583",418.71875
"584",321.078125
"585",411.96875
"586",398.9375
"587",401.375
"588",410.65625
"589",218.28125
"590",522.3125
"591",325.71875
"592",500.1875
"593",349.15625
"594",281.84375
"595",417.40625
"596",187.765625
"597",309.921875
"598",392.84375
"599",470.65625
"600",455
"601",365
"602",369.78125
"603",184.578125
"604",256.53125
"605",395.1875
"606",469.0625
"607",184.578125
"608",462.3125
"609",466.8125
"610",307.484375
"611",478.25
"612",184.578125
"613",184.578125
"614",377.46875
"615",386.09375
"616",417.78125
"617",286.0625
"618",427.34375
"619",352.625
"620",292.109375
"621",325.109375
"622",398.75
"623",414.125
"624",492.03125
"625",548.5625
"626",352.625
"627",292.859375
"628",431.46875
"629",394.8125
"630",300.921875
"631",391.71875
"632",296.9375
"633",472.90625
"634",420.5
"635",397.34375
"636",253.671875
"637",381.96875
"638",348.6875
"639",417.78125
"640",585.5
"641",253.671875
"642",352.625
"643",324.125
"644",397.34375
"645",287.234375
"646",348.6875
"647",292.109375
"648",380.984375
"649",352.625
"650",352.625
"651",352.625
"652",352.625
"653",386.84375
"654",253.671875
"655",282.78125
"656",291.265625
"657",352.625
"658",287.234375
"659",460.0625
"660",247.90625
"661",418.15625
"662",348.6875
"663",352.625
"664",348.6875
"665",414.59375
"666",292.109375
"667",260.65625
"668",352.625
"669",502.15625
"670",397.71875
"671",402.875
"672",237.03125
"673",355.4375
"674",305.5625
"675",584
"676",425.421875
"677",237.03125
"678",237.03125
"679",287.234375
"680",420.3125
"681",348.6875
"682",287.234375
"683",287.234375
"684",247.90625
"685",532.4375
"686",467.1875
"687",490.0625
"688",247.90625
"689",318.265625
"690",425.1875
"691",260.28125
"692",330.171875
"693",294.359375
"694",287.234375
"695",527.5625
"696",210.96875
"697",205.0625
"698",285.734375
"699",278.46875
"700",221.140625
"701",221.140625
"702",441.125
"703",471.3125
"704",425
"705",449.375
"706",335.75
"707",205.0625
"708",221.140625
"709",288.078125
"710",450.6875
"711",437.9375
"712",500.5625
"713",314.9375
"714",320.703125
"715",314.9375
"716",419.75
"717",226.296875
"718",480.125
"719",355.296875
"720",428.1875
"721",359.234375
"722",505.4375
"723",473.1875
"724",460.4375
"725",221.140625
"726",438.3125
"727",450.3125
"728",221.140625
"729",432.3125
"730",436.4375
"731",221.140625
"732",427.25
"733",420.546875
"734",221.140625
"735",221.140625
"736",466.0625
"737",312.265625
"738",308.609375
"739",335.5625
"740",388.8125
"741",205.0625
"742",417.3125
"743",221.140625
"744",221.140625
"745",308.609375
"746",205.0625
"747",361.109375
"748",221.140625
"749",221.140625
"750",332.421875
"751",226.296875
"752",205.0625
"753",221.140625
"754",205.0625
"755",221.140625
"756",305.328125
"757",221.140625
"758",205.0625
"759",221.140625
"760",366.5
"761",205.0625
"762",342.171875
"763",221.140625
"764",279.453125
"765",424.625
"766",278.515625
"767",275.703125
"768",428.375
"769",314.9375
"770",226.296875
"771",477.3125
"772",542.375
"773",205.0625
"774",304.859375
"775",286.765625
"776",221.140625
"777",285.828125
"778",327.828125
"779",506
"780",438.6875
"781",221.140625
"782",460.25
"783",243.078125
"784",221.140625
"785",353.1875
"786",314.9375
"787",482.375
"788",479.984375
"789",495.3125
"790",221.140625
"791",385.53125
"792",414.125
"793",311
"794",337.0625
"795",357.03125
"796",317.28125
"797",302.890625
"798",220.25
"799",220.25
"800",343.15625
"801",205.0625
"802",386.375
"803",436.0625
"804",314.9375
"805",423.96875
"806",226.296875
"807",275.703125
"808",249.3125
"809",205.0625
"810",521
"811",258.640625
"812",205.0625
"813",348.921875
"814",205.0625
"815",205.0625
"816",254.234375
"817",438.3125
"818",254.234375
"819",269.421875
"820",254.234375
"821",220.25
"822",289.34375
"823",220.25
"824",220.25
"825",220.25
"826",212.84375
"827",212.84375
"828",335.46875
"829",264.171875
"830",440.375
"831",413.1875
"832",437.84375
"833",421.15625
"834",418.34375
"835",407.09375
"836",342.21875
"837",394.0625
"838",525.125
"839",360.59375
"840",290.1875
"841",458.09375
"842",397.4375
"843",382.53125
"844",342.21875
"845",484.625
"846",470.375
"847",342.21875
"848",527.9375
"849",238.34375
"850",342.21875
"851",478.0625
"852",576.5
"853",396.96875
"854",521.1875
"855",320.65625
"856",574.625
"857",450.40625
"858",281.609375
"859",238.34375
"860",529.625
"861",400.90625
"862",357.171875
"863",387.40625
"864",279.734375
"865",342.21875
"866",274.109375
"867",411.5
"868",312.40625
"869",421.15625
"870",518.1875
"871",540.875
"872",350.46875
"873",238.34375
"874",290.28125
"875",388.71875
"876",453.875
"877",342.21875
"878",342.21875
"879",328.0625
"880",521.1875
"881",369.78125
"882",343.71875
"883",312.40625
"884",351.21875
"885",399.40625
"886",479.5625
"887",312.40625
"888",362.75
"889",263.796875
"890",293.609375
"891",342.21875
"892",342.21875
"893",498.03125
"894",290.28125
"895",287.421875
"896",335.65625
"897",340.15625
"898",298.90625
"899",574.0625
"900",238.34375
"901",322.34375
"902",244.859375
"903",322.34375
"904",322.34375
"905",244.859375
"906",276.734375
"907",276.734375
"908",322.34375
"909",244.859375
"910",318.59375
"911",280.859375
"912",244.859375
"913",388.109375
"914",280.859375
"915",315.40625
"916",296.65625
"917",255.359375
"918",244.859375
"919",318.59375
"920",315.40625
"921",276.734375
"922",405.6875
"923",286.484375
"924",318.59375
"925",280.859375
"926",539.375
"927",366.171875
"928",462.3125
"929",244.859375
"930",276.734375
"931",276.734375
"932",337.4375
"933",469.25
"934",244.859375
"935",276.734375
"936",244.859375
"937",364.109375
"938",322.34375
"939",315.40625
"940",325.109375
"941",286.484375
"942",276.734375
"943",318.59375
"944",244.859375
"945",244.859375
"946",318.59375
"947",244.859375
"948",488.5625
"949",332.515625
"950",314.328125
"951",250.578125
"952",209.984375
"953",245.375
"954",355.71875
"955",260.84375
"956",347.09375
"957",194.140625
"958",339.59375
"959",194.140625
"960",407.9375
"961",194.140625
"962",194.140625
"963",263.140625
"964",209.46875
"965",293.9375
"966",370.625
"967",187.71875
"968",187.71875
"969",187.71875
"970",370.625
"971",187.71875
"972",187.71875
"973",313.015625
"974",348.6875
"975",348.6875
"976",187.71875
"977",406.0625
"978",216.265625
"979",187.71875
"980",187.71875
"981",232.8125
"982",292.0625
"983",325.4375
"984",194.140625
"985",194.140625
"986",194.140625
"987",345.59375
"988",194.140625
"989",194.140625
"990",187.71875
"991",187.71875
"992",187.71875
"993",187.71875
"994",190.0625
"995",214.671875
"996",190.0625
"997",195.921875
"998",190.0625
"999",195.921875
"1000",190.0625
"1001",190.0625
"1002",195.921875
"1003",262.859375
"1004",190.0625
"1005",276.03125
"1006",190.0625
"1007",190.0625
"1008",190.0625
"1009",190.0625
"1010",299
"1011",190.0625
"1012",190.0625
"1013",281.984375
"1014",190.0625
"1015",190.0625
"1016",329.1875
"1017",230.796875
"1018",190.0625
"1019",243.40625
"1020",319.25
"1021",316.484375
"1022",369.875
"1023",190.0625
"1024",263.28125
"1025",190.0625
"1026",314.984375
"1027",190.0625
"1028",265.671875
"1029",239.515625
"1030",190.0625
"1031",190.0625
"1032",297.03125
"1033",258.359375
"1034",190.0625
"1035",190.0625
"1036",199.203125
"1037",396.5
"1038",199.203125
"1039",284.46875
"1040",265.15625
"1041",498.125
"1042",398.28125
"1043",199.203125
"1044",284.46875
"1045",214.390625
"1046",280.53125
"1047",258.03125
"1048",244.859375
"1049",199.203125
"1050",214.390625
"1051",199.203125
"1052",389.375
"1053",240.359375
"1054",240.359375
"1055",397.15625
"1056",199.203125
"1057",257.796875
"1058",289.484375
"1059",199.203125
"1060",325.8125
"1061",264.546875
"1062",525.875
"1063",284.46875
"1064",393.359375
"1065",376.34375
"1066",387.40625
"1067",199.203125
"1068",386.9375
"1069",258.03125
"1070",283.671875
"1071",199.203125
"1072",238.15625
"1073",238.15625
"1074",260.09375
"1075",238.15625
"1076",256.859375
"1077",238.15625
"1078",255.359375
"1079",351.359375
"1080",203.65625
"1081",325.484375
"1082",260.09375
"1083",203.65625
"1084",203.65625
"1085",238.15625
"1086",257.984375
"1087",238.15625
"1088",203.65625
"1089",433.25
"1090",238.15625
"1091",349.671875
"1092",368.796875
"1093",280.34375
"1094",203.65625
"1095",238.15625
"1096",282.640625
"1097",235.90625
"1098",235.90625
"1099",439.625
"1100",312.3125
"1101",455.75
"1102",335.09375
"1103",354.875
"1104",335.328125
"1105",330.640625
"1106",420.3125
"1107",235.90625
"1108",366.453125
"1109",235.90625
"1110",269.421875
"1111",346.15625
"1112",235.90625
"1113",235.90625
"1114",282.640625
"1115",235.90625
"1116",235.90625
"1117",235.90625
"1118",235.90625
"1119",235.90625
"1120",235.90625
"1121",235.90625
"1122",235.90625
"1123",432.3125
"1124",209.984375
"1125",235.90625
"1126",235.90625
"1127",235.90625
"1128",312.3125
"1129",235.90625
"1130",235.90625
"1131",235.90625
"1132",235.90625
"1133",235.90625
"1134",235.90625
"1135",235.90625
"1136",346.15625
"1137",235.90625
"1138",287.234375
"1139",184.90625
"1140",184.90625
"1141",238.34375
"1142",309.640625
"1143",338.46875
"1144",184.90625
"1145",184.90625
"1146",184.90625
"1147",378.875
"1148",209.984375
"1149",209.984375
