"","corona_sub"
"227",6216768.16164395
"228",6216768.16164395
"229",6931653.4108998
"230",6216768.16164394
"231",6216768.16164393
"232",6216768.16164395
"233",6216768.16164396
"234",6216768.16164393
"235",6216768.16164396
"236",6216768.16164395
"237",6216768.16164395
"238",11215975.3706839
"239",6216768.16164397
"240",6216768.16164395
"241",6216768.16164396
"242",6216768.16164396
"243",6216768.16164395
"244",6216768.16164396
"245",6216768.16164395
"246",6216768.16164394
"247",6216768.16164396
"248",6216768.16164394
"249",6216768.16164395
"250",6216768.16164395
"251",6216768.16164394
"252",6216768.16164396
"253",6216768.16164394
"254",6216768.16164395
"255",6216768.16164396
"256",6216768.16164396
"257",6216768.16164394
"258",6216768.16164397
"259",6216768.16164394
"260",6216768.16164394
"261",6216768.16164395
"262",6216768.16164395
"263",6216768.16164395
"264",6216768.16164396
"265",6216768.16164394
"266",6216768.16164396
"267",286559.650724602
"268",286559.650724602
"269",349407.46422203
"270",349407.46422203
"271",349407.46422203
"272",13174466.6343538
"273",349407.464222029
"274",349407.46422203
"275",349407.464222029
"276",349407.46422203
"277",349407.464222028
"278",349407.46422203
"279",349407.46422203
"280",349407.46422203
"281",349407.464222029
"282",349407.46422203
"283",349407.46422203
"284",349407.46422203
"285",349407.464222029
"286",349407.464222031
"287",349407.464222029
"288",349407.464222029
"289",460611.936648832
"290",349407.464222029
"291",349407.46422203
"292",15434706.912395
"293",349407.46422203
"294",349407.46422203
"295",349407.46422203
"296",16025175.0569563
"297",349407.46422203
"298",349407.46422203
"299",349407.46422203
"300",349407.46422203
"301",349407.464222031
"302",349407.464222029
"303",349407.46422203
"304",349407.46422203
"305",349407.464222029
"306",349407.464222029
"307",349407.46422203
"308",49647336.2530925
"309",349407.46422203
"310",349407.464222029
"311",349407.464222029
"312",349407.46422203
"313",349407.46422203
"314",13174466.6343538
"315",349407.464222029
"316",9743283.72415836
"317",7070.32577039717
"318",7070.32577039718
"319",7070.32577039716
"320",7070.32577039718
"321",7070.32577039716
"322",7070.32577039717
"323",7070.32577039717
"324",9743283.72415837
"325",7070.32577039716
"326",7070.32577039716
"327",274262.592055761
"328",274262.592055762
"329",9036656.69640817
"330",274262.592055761
"331",274262.592055761
"332",274262.592055761
"333",48665844.2136439
"334",274262.59205576
"335",274262.592055762
"336",274262.592055761
"337",15470115.1717196
"338",274262.59205576
"339",274262.592055761
"340",15470115.1717196
"341",15470115.1717197
"342",3735564.22113697
"343",15470115.1717196
"344",274262.592055761
"345",274262.59205576
"346",274262.59205576
"347",15470115.1717197
"348",274262.592055762
"349",274262.59205576
"350",9036656.69640815
"351",9036656.69640815
"352",274262.592055762
"353",6216768.16164395
"354",7585227.3557102
"355",6216768.16164395
"356",6216768.16164395
"357",9036656.69640819
"358",6216768.16164394
"359",6216768.16164394
"360",6216768.16164394
"361",6216768.16164395
"362",39613514.4911167
"363",6216768.16164396
"364",42002770.3839491
"365",39613514.4911168
"366",139753901.604953
"367",141831786.591786
"368",15025590.0409941
"369",6216768.16164394
"370",6216768.16164396
"371",6216768.16164395
"372",112559657.790302
"373",9613065.87899167
"374",7585227.35571022
"375",62684676.2766602
"376",105164195.605562
"377",108117108.122821
"378",9036656.69640819
"379",9613065.87899164
"380",10686292.6064646
"381",29416595.8944258
"382",134074336.992879
"383",10153843.3270319
"384",6216768.16164396
"385",10861014.3426838
"386",6216768.16164395
"387",19876723.0097491
"388",9613065.87899166
"389",9613065.87899167
"390",6642910.34341524
"391",7138221.44989414
"392",19876723.009749
"393",14949636.5674498
"394",35366319.4672453
"395",127932592.871149
"396",134074336.992879
"397",136392337.870281
"398",6216768.16164395
"399",6216768.16164396
"400",6216768.16164395
"401",6216768.16164394
"402",6216768.16164397
"403",6216768.16164395
"404",6216768.16164395
"405",6216768.16164396
"406",6216768.16164396
"407",6216768.16164396
"408",6216768.16164395
"409",6216768.16164393
"410",6216768.16164395
"411",6216768.16164396
"412",6216768.16164396
"413",6216768.16164397
"414",6216768.16164396
"415",6216768.16164394
"416",6216768.16164395
"417",6216768.16164395
"418",6216768.16164394
"419",6216768.16164394
"420",6216768.16164394
"421",6216768.16164393
"422",6216768.16164395
"423",6216768.16164394
"424",6216768.16164398
"425",6216768.16164395
"426",6216768.16164396
"427",124464540.823222
"428",88487710.8439935
"429",60437131.570833
"430",134074336.992879
"431",137407354.429069
"432",6216768.16164394
"433",19876723.009749
"434",6931653.41089982
"435",6216768.16164393
"436",6216768.16164395
"437",6216768.16164396
"438",9036656.69640822
"439",134074336.992879
"440",6696220.71936331
"441",19876723.0097491
"442",7138221.44989414
"443",7138221.44989415
"444",6642910.34341525
"445",7138221.44989417
"446",6774097.68600476
"447",6216768.16164395
"448",35366319.4672456
"449",6216768.16164396
"450",6216768.16164395
"451",6642910.34341523
"452",9036656.69640816
"453",6216768.16164393
"454",6216768.16164395
"455",6216768.16164395
"456",6216768.16164396
"457",15025590.0409941
"458",9036656.69640818
"459",6216768.16164395
"460",6216768.16164395
"461",7694.54875141692
"462",6216768.16164395
"463",6827909.00733354
"464",6216768.16164394
"465",6216768.16164395
"466",9404259.0945834
"467",9036656.69640819
"468",6216768.16164395
"469",6216768.16164393
"470",9036656.69640818
"471",9036656.69640817
"472",6216768.16164395
"473",6216768.16164395
"474",7138221.44989415
"475",6216768.16164395
"476",7138221.44989415
"477",6216768.16164396
"478",6216768.16164396
"479",6216768.16164395
"480",6216768.16164395
"481",6216768.16164395
"482",6216768.16164395
"483",6216768.16164396
"484",6216768.16164393
"485",6216768.16164396
"486",6216768.16164395
"487",9404259.0945834
"488",6216768.16164397
"489",6216768.16164397
"490",6216768.16164396
"491",6216768.16164395
"492",6216768.16164395
"493",6216768.16164393
"494",6216768.16164396
"495",6216768.16164394
"496",6216768.16164397
"497",6931653.4108998
"498",6216768.16164395
"499",6216768.16164393
"500",6216768.16164394
"501",8916.28639927342
"502",6879742.14522664
"503",26234659.1648625
"504",4130538.67344893
"505",6366856.02638487
"506",765168.49760757
"507",765168.49760757
"508",18273240.3400155
"509",30721721.7316144
"510",1953202.75166501
"511",6366856.02638485
"512",1953202.75166501
"513",1987340.48920489
"514",4000388.98924235
"515",2145815.57060123
"516",30721721.7316143
"517",5145769.0962355
"518",5145769.09623548
"519",765168.497607571
"520",1987340.48920489
"521",1987340.48920489
"522",65595762.8109682
"523",2241530.53398409
"524",4000388.98924235
"525",30721721.7316143
"526",1305808.92523958
"527",38169454.1504005
"528",25225419.6564164
"529",71092700.5788343
"530",765168.497607569
"531",73377965.2676483
"532",28325828.1044799
"533",654.751572441313
"534",654.751572441312
"535",12757611.7379804
"536",20522.1706819027
"537",20522.1706819027
"538",20522.1706819027
"539",21718336.7165951
"540",20522.1706819027
"541",20522.1706819027
"542",20522.1706819028
"543",1121010.720655
"544",1268367.54199043
"545",19898691.5069406
"546",11695489.7453506
"547",16025175.0569563
"548",16025175.0569563
"549",15470115.1717196
"550",9404259.09458344
"551",7070.32577039716
"552",274262.592055762
"553",274262.59205576
"554",274262.59205576
"555",274262.59205576
"556",274262.592055761
"557",274262.59205576
"558",274262.59205576
"559",274262.592055762
"560",274262.592055762
"561",274262.592055762
"562",274262.592055761
"563",274262.592055761
"564",274262.592055761
"565",8916.28639927341
"566",8916.28639927343
"567",765168.497607571
"568",765168.49760757
"569",765168.49760757
"570",765168.49760757
"571",765168.49760757
"572",2145815.57060123
"573",11215975.3706839
"574",1987340.48920489
"575",765168.497607571
"576",765168.497607572
"577",18273240.3400154
"578",765168.49760757
"579",765168.49760757
"580",765168.49760757
"581",765168.49760757
"582",18273240.3400154
"583",1987340.48920488
"584",765168.497607571
"585",1987340.48920489
"586",765168.497607572
"587",765168.497607572
"588",765168.497607572
"589",765168.497607569
"590",765168.497607572
"591",765168.497607571
"592",765168.497607571
"593",765168.497607572
"594",765168.497607571
"595",11215975.3706839
"596",765168.497607573
"597",765168.497607571
"598",765168.49760757
"599",765168.497607572
"600",765168.497607572
"601",765168.49760757
"602",1987340.48920489
"603",11215975.3706839
"604",765168.497607571
"605",765168.497607572
"606",765168.49760757
"607",765168.497607573
"608",765168.497607572
"609",765168.497607568
"610",765168.49760757
"611",765168.497607574
"612",765168.497607569
"613",765168.49760757
"614",765168.49760757
"615",765168.49760757
"616",765168.497607572
"617",765168.497607572
"618",765168.497607572
"619",765168.49760757
"620",765168.497607572
"621",11215975.3706839
"622",18273240.3400154
"623",765168.497607572
"624",765168.497607569
"625",11215975.3706839
"626",1987340.48920489
"627",765168.497607568
"628",765168.497607571
"629",765168.497607571
"630",765168.497607572
"631",765168.497607573
"632",765168.497607573
"633",11215975.3706839
"634",765168.497607571
"635",765168.497607573
"636",765168.49760757
"637",18273240.3400153
"638",765168.497607571
"639",1987340.48920489
"640",765168.49760757
"641",765168.49760757
"642",2145815.57060124
"643",765168.497607575
"644",765168.497607573
"645",11215975.3706839
"646",765168.49760757
"647",765168.497607573
"648",925631.892966179
"649",765168.49760757
"650",765168.497607572
"651",11215975.3706839
"652",765168.497607571
"653",18273240.3400154
"654",765168.49760757
"655",765168.497607572
"656",765168.497607571
"657",1987340.48920489
"658",765168.497607572
"659",765168.497607571
"660",765168.49760757
"661",765168.49760757
"662",765168.497607572
"663",765168.49760757
"664",1987340.48920489
"665",765168.497607572
"666",765168.497607572
"667",765168.497607571
"668",765168.497607571
"669",765168.497607571
"670",765168.497607572
"671",765168.497607571
"672",765168.49760757
"673",1987340.48920489
"674",765168.49760757
"675",765168.497607569
"676",765168.497607572
"677",765168.497607572
"678",765168.497607574
"679",765168.497607572
"680",765168.497607573
"681",765168.497607571
"682",765168.497607571
"683",765168.497607572
"684",765168.497607571
"685",765168.497607572
"686",765168.497607572
"687",765168.49760757
"688",765168.497607574
"689",765168.497607571
"690",765168.497607569
"691",765168.497607572
"692",765168.497607572
"693",654.751572441314
"694",654.751572441312
"695",654.751572441314
"696",654.751572441311
"697",654.751572441314
"698",11987.2769055402
"699",654.751572441313
"700",6216768.16164395
"701",6216768.16164395
"702",6216768.16164396
"703",6216768.16164394
"704",29416595.8944259
"705",29416595.8944258
"706",9404259.09458338
"707",29416595.8944258
"708",29416595.8944259
"709",6216768.16164396
"710",29416595.8944258
"711",6649539.8265046
"712",6216768.16164394
"713",6216768.16164394
"714",6216768.16164396
"715",6216768.16164397
"716",29416595.8944259
"717",6216768.16164395
"718",6216768.16164396
"719",6216768.16164395
"720",6216768.16164395
"721",33402486.5716653
"722",6216768.16164393
"723",77399416.3304511
"724",6216768.16164396
"725",6216768.16164395
"726",6216768.16164395
"727",6216768.16164396
"728",6216768.16164396
"729",6216768.16164395
"730",6216768.16164396
"731",6216768.16164394
"732",29416595.8944259
"733",6216768.16164396
"734",33402486.5716653
"735",6216768.16164393
"736",6216768.16164396
"737",6216768.16164396
"738",6216768.16164394
"739",33402486.5716653
"740",29416595.8944258
"741",33402486.5716653
"742",6216768.16164394
"743",6216768.16164396
"744",33402486.5716652
"745",6216768.16164395
"746",9090769.49108144
"747",6216768.16164394
"748",33402486.5716653
"749",6216768.16164395
"750",6216768.16164394
"751",6216768.16164397
"752",6216768.16164395
"753",33402486.5716652
"754",6216768.16164395
"755",6216768.16164394
"756",6216768.16164395
"757",6216768.16164395
"758",6216768.16164396
"759",9090769.49108147
"760",29416595.8944258
"761",29416595.8944258
"762",29416595.8944258
"763",9090769.49108148
"764",6216768.16164396
"765",6216768.16164395
"766",6216768.16164394
"767",33402486.5716653
"768",6216768.16164395
"769",29416595.8944259
"770",6216768.16164394
"771",6216768.16164395
"772",6216768.16164396
"773",6216768.16164394
"774",29416595.8944258
"775",29416595.8944259
"776",6216768.16164397
"777",6216768.16164395
"778",6216768.16164395
"779",6649539.82650459
"780",33402486.5716652
"781",29416595.8944259
"782",33402486.5716653
"783",9268792.97786439
"784",41761383.7492194
"785",9268792.97786437
"786",41761383.7492194
"787",41761383.7492194
"788",9268792.97786437
"789",9268792.97786438
"790",9268792.97786437
"791",41761383.7492194
"792",9268792.97786439
"793",9268792.97786439
"794",9268792.97786438
"795",41761383.7492193
"796",9268792.97786436
"797",9268792.9778644
"798",41761383.7492192
"799",41761383.7492193
"800",9268792.97786441
"801",41761383.7492194
"802",41761383.7492194
"803",41761383.7492194
"804",12757611.7379804
"805",41761383.7492195
"806",9268792.9778644
"807",41761383.7492194
"808",41761383.7492194
"809",9268792.97786434
"810",41761383.7492194
"811",9268792.97786439
"812",41761383.7492194
"813",41761383.7492192
"814",9268792.9778644
"815",9268792.97786442
"816",9268792.97786438
"817",9268792.97786436
"818",41761383.7492193
"819",9268792.97786437
"820",9268792.97786437
"821",9268792.97786438
"822",41761383.7492193
"823",41761383.7492193
"824",9268792.97786439
"825",9268792.97786439
"826",41761383.7492193
"827",41761383.7492193
"828",41761383.7492193
"829",9268792.97786438
"830",9268792.97786438
"831",9268792.97786435
"832",41761383.7492194
"833",41761383.7492193
"834",9268792.97786437
"835",41761383.7492195
"836",9268792.97786437
"837",9268792.97786438
"838",41761383.7492194
"839",9268792.9778644
"840",9268792.9778644
"841",9268792.97786439
"842",41761383.7492194
"843",41761383.7492194
"844",9268792.9778644
"845",41761383.7492194
"846",41761383.7492194
"847",9268792.97786433
"848",9268792.97786441
"849",29416595.8944258
"850",9268792.97786438
"851",9268792.97786438
"852",41761383.7492194
"853",41761383.7492194
"854",41761383.7492194
"855",9268792.9778644
"856",9268792.97786437
"857",9268792.97786439
"858",9268792.97786435
"859",41761383.7492196
"860",9268792.97786439
"861",9268792.97786438
"862",9268792.9778644
"863",9268792.97786437
"864",41761383.7492193
"865",9268792.97786435
"866",41761383.7492194
"867",41761383.7492193
"868",41761383.7492193
"869",9268792.97786439
"870",9268792.97786438
"871",9268792.97786437
"872",9268792.9778644
"873",9268792.97786441
"874",9268792.97786439
"875",41761383.7492193
"876",13174466.6343538
"877",42882703.6963878
"878",41761383.7492192
"879",41761383.7492193
"880",9268792.97786434
"881",41761383.7492194
"882",41761383.7492194
"883",9268792.97786438
"884",9268792.97786444
"885",41761383.7492194
"886",9268792.97786439
"887",41761383.7492194
"888",9268792.97786438
"889",41761383.7492194
"890",41761383.7492194
"891",9268792.97786439
"892",9268792.97786441
"893",41761383.7492193
"894",41761383.7492193
"895",9268792.97786438
"896",9268792.97786437
"897",9268792.97786439
"898",41761383.7492192
"899",41761383.7492194
"900",41761383.7492193
"901",41761383.7492194
"902",9268792.97786438
"903",41761383.7492194
"904",9268792.97786441
"905",9268792.97786441
"906",9268792.97786438
"907",9268792.97786436
"908",41761383.7492194
"909",9268792.97786438
"910",41761383.7492193
"911",9268792.97786438
"912",9268792.97786437
"913",41761383.7492192
"914",9268792.97786436
"915",9268792.97786437
"916",9268792.9778644
"917",9268792.97786439
"918",9268792.97786438
"919",9268792.97786435
"920",41761383.7492194
"921",9268792.97786437
"922",9268792.97786441
"923",41761383.7492193
"924",9268792.97786437
"925",9268792.9778644
"926",9268792.97786441
"927",41761383.7492194
"928",9268792.97786438
"929",9268792.9778644
"930",9268792.9778644
"931",9268792.9778644
"932",9268792.9778644
"933",41761383.7492193
"934",9268792.97786439
"935",41761383.7492194
"936",41761383.7492193
"937",41761383.7492194
"938",41761383.7492193
"939",9268792.97786437
"940",41761383.7492194
"941",41761383.7492193
"942",9268792.97786436
"943",41761383.7492193
"944",41761383.7492194
"945",9268792.97786444
"946",9268792.97786439
"947",9268792.97786437
"948",9268792.97786442
"949",9268792.97786435
"950",9268792.97786437
"951",9268792.97786441
"952",41761383.7492191
"953",9268792.97786435
"954",41761383.7492193
"955",9268792.97786436
"956",9268792.97786438
"957",41761383.7492193
"958",41761383.7492194
"959",9268792.97786437
"960",41761383.7492192
"961",9268792.97786436
"962",41761383.7492193
"963",9268792.97786435
"964",41761383.7492192
"965",41761383.7492195
"966",9268792.97786441
"967",41761383.7492195
"968",9268792.97786443
"969",41761383.7492193
"970",9268792.97786439
"971",9268792.97786434
"972",9268792.97786437
"973",9268792.97786439
"974",41761383.7492194
"975",9268792.97786438
"976",9268792.97786436
"977",9268792.97786439
"978",9268792.97786443
"979",9268792.97786438
"980",41761383.7492195
"981",41761383.7492194
"982",9268792.97786435
"983",9268792.97786433
"984",9268792.97786439
"985",41761383.7492193
"986",9268792.97786438
"987",13174466.6343538
"988",9268792.97786438
"989",41761383.7492194
"990",41761383.7492194
"991",9268792.97786438
"992",9268792.97786437
"993",9268792.97786437
"994",9268792.97786438
"995",41761383.7492193
"996",9268792.97786441
"997",9268792.97786437
"998",9268792.97786437
"999",41761383.7492195
"1000",41761383.7492193
"1001",41761383.7492196
"1002",9268792.97786437
"1003",9268792.9778644
"1004",9268792.97786439
"1005",41761383.7492193
"1006",9268792.97786434
"1007",41761383.7492193
"1008",9268792.97786441
"1009",41761383.7492193
"1010",41761383.7492193
"1011",41761383.7492194
"1012",9268792.97786435
"1013",9268792.97786435
"1014",9268792.97786443
"1015",41761383.7492193
"1016",9268792.97786441
"1017",9268792.97786438
"1018",9268792.97786437
"1019",41761383.7492194
"1020",9268792.97786438
"1021",9268792.97786441
"1022",41761383.7492195
"1023",9268792.97786437
"1024",41761383.7492194
"1025",9268792.97786438
"1026",41761383.7492194
"1027",9268792.9778644
"1028",13174466.6343538
"1029",9268792.97786437
"1030",41761383.7492194
"1031",9811476.83288624
"1032",9268792.97786435
"1033",9268792.97786438
"1034",41761383.7492193
"1035",9268792.97786436
"1036",9268792.9778644
"1037",41761383.7492193
"1038",41761383.7492193
"1039",9268792.97786437
"1040",9268792.97786441
"1041",9268792.97786436
"1042",9268792.97786437
"1043",9268792.97786439
"1044",9268792.97786437
"1045",9268792.97786439
"1046",41761383.7492193
"1047",9268792.97786438
"1048",41761383.7492193
"1049",9268792.97786439
"1050",9268792.97786437
"1051",9268792.97786436
"1052",9268792.97786436
"1053",41761383.7492194
"1054",41761383.7492193
"1055",9268792.97786439
"1056",9268792.97786436
"1057",9268792.9778644
"1058",9268792.97786441
"1059",41761383.7492195
"1060",41761383.7492194
"1061",41761383.7492193
"1062",9268792.97786439
"1063",41761383.7492194
"1064",9268792.9778644
"1065",9268792.97786438
"1066",41761383.7492194
"1067",41761383.7492194
"1068",9268792.97786438
"1069",41761383.7492193
"1070",13174466.6343538
"1071",41761383.7492192
"1072",41761383.7492195
"1073",9268792.97786438
"1074",9268792.97786438
"1075",9268792.9778644
"1076",41761383.7492194
"1077",286559.650724602
"1078",286559.650724602
"1079",286559.650724601
"1080",286559.650724601
"1081",286559.650724603
"1082",286559.650724601
"1083",286559.650724601
"1084",286559.6507246
"1085",286559.650724601
"1086",286559.650724602
"1087",286559.650724602
"1088",286559.650724602
"1089",286559.650724601
"1090",286559.650724602
"1091",286559.650724603
"1092",286559.650724602
"1093",286559.650724601
"1094",286559.650724601
"1095",286559.650724603
"1096",286559.650724602
"1097",286559.650724603
"1098",286559.650724602
"1099",286559.650724601
"1100",286559.650724602
"1101",286559.650724602
"1102",286559.650724602
"1103",286559.650724601
"1104",286559.650724601
"1105",286559.650724602
"1106",286559.650724603
"1107",286559.650724602
"1108",286559.650724602
"1109",286559.650724602
"1110",286559.650724602
"1111",286559.650724602
"1112",286559.650724602
"1113",286559.650724601
"1114",286559.650724601
"1115",11695489.7453506
"1116",11695489.7453506
"1117",11695489.7453506
"1118",11695489.7453506
"1119",11695489.7453507
"1120",11695489.7453506
"1121",11695489.7453506
"1122",11695489.7453506
"1123",11695489.7453506
"1124",11695489.7453506
"1125",11695489.7453506
"1126",11695489.7453506
"1127",11695489.7453506
"1128",11695489.7453506
"1129",11695489.7453506
"1130",11695489.7453506
"1131",11695489.7453506
"1132",11695489.7453506
"1133",11695489.7453506
"1134",11695489.7453506
"1135",11695489.7453506
"1136",11695489.7453506
"1137",11695489.7453506
"1138",11695489.7453506
"1139",11695489.7453506
"1140",11695489.7453506
"1141",11695489.7453506
"1142",11695489.7453506
"1143",11695489.7453506
"1144",11695489.7453506
"1145",11695489.7453506
"1146",11695489.7453506
"1147",11695489.7453506
"1148",11695489.7453506
"1149",11695489.7453506
"1150",11695489.7453506
"1151",11695489.7453506
"1152",11695489.7453506
"1153",11695489.7453507
"1154",11695489.7453507
"1155",11695489.7453506
"1156",11695489.7453506
"1157",11695489.7453506
"1158",11695489.7453506
"1159",11695489.7453506
"1160",11695489.7453506
"1161",11695489.7453506
"1162",11695489.7453506
"1163",11695489.7453506
"1164",11695489.7453506
"1165",11695489.7453506
"1166",11695489.7453506
"1167",11695489.7453506
"1168",11695489.7453506
"1169",11695489.7453506
"1170",11695489.7453506
"1171",11695489.7453506
"1172",11695489.7453506
"1173",11695489.7453506
"1174",11695489.7453506
"1175",11695489.7453506
"1176",11695489.7453506
"1177",11695489.7453506
"1178",11695489.7453507
"1179",11695489.7453506
"1180",11695489.7453506
"1181",11695489.7453506
"1182",11695489.7453506
"1183",11695489.7453506
"1184",11695489.7453506
"1185",11695489.7453506
"1186",12291257.3004371
"1187",11695489.7453506
"1188",11695489.7453506
"1189",11695489.7453506
"1190",11695489.7453506
"1191",11695489.7453506
"1192",11695489.7453506
"1193",11695489.7453506
"1194",11695489.7453506
"1195",11695489.7453506
"1196",11695489.7453506
"1197",11695489.7453506
"1198",11695489.7453506
"1199",11695489.7453506
"1200",11695489.7453506
"1201",11695489.7453506
"1202",11695489.7453506
"1203",11695489.7453506
"1204",12291257.300437
"1205",11695489.7453506
"1206",11695489.7453506
"1207",11695489.7453506
"1208",11695489.7453506
"1209",11695489.7453506
"1210",11695489.7453506
"1211",11695489.7453506
"1212",11695489.7453506
"1213",11695489.7453506
"1214",11695489.7453506
"1215",11695489.7453506
"1216",11695489.7453506
"1217",11695489.7453507
"1218",11695489.7453506
"1219",11695489.7453506
"1220",11695489.7453506
"1221",11695489.7453506
"1222",11695489.7453506
"1223",11695489.7453506
"1224",11695489.7453506
"1225",11695489.7453506
"1226",11695489.7453506
"1227",11695489.7453506
"1228",11695489.7453506
"1229",11695489.7453506
"1230",11695489.7453506
"1231",11695489.7453506
"1232",11695489.7453506
"1233",11695489.7453506
"1234",11695489.7453506
"1235",11695489.7453506
"1236",11695489.7453506
"1237",11695489.7453506
"1238",11695489.7453506
"1239",11695489.7453506
"1240",11695489.7453506
"1241",11695489.7453506
"1242",11695489.7453506
"1243",11695489.7453506
"1244",11695489.7453506
"1245",11695489.7453506
"1246",11695489.7453506
"1247",11695489.7453506
"1248",11695489.7453506
"1249",11695489.7453506
"1250",11695489.7453506
"1251",11695489.7453506
"1252",11695489.7453506
"1253",11695489.7453506
"1254",11695489.7453506
"1255",11695489.7453506
"1256",11695489.7453506
"1257",11695489.7453506
"1258",11695489.7453506
"1259",11695489.7453506
"1260",11695489.7453506
"1261",11695489.7453506
"1262",11695489.7453506
"1263",11695489.7453506
"1264",11695489.7453506
"1265",11695489.7453506
"1266",11695489.7453506
"1267",11695489.7453506
"1268",11695489.7453506
"1269",11695489.7453506
"1270",11695489.7453506
"1271",11695489.7453506
