"","influenza_sub"
"295",77734053542590939136
"296",91671224035678976
"297",91602638313219833856
"298",30147470809729784
"299",91671224035678976
"300",86416967180852674560
"301",91671224035678976
"302",9.3261183832026e+19
"303",86416967180852674560
"304",48911477923958800384
"305",68620778138694909952
"306",88516118727771504640
"307",399317218731089984
"308",368290471918233152
"309",22978990455136145408
"310",4381111519082161152
"311",2237666365449642496
"312",2258911999442773248
"313",61163339410603458560
"314",95850032399189426186
"315",413499977458833408
"316",2997759762679428096
"317",3663249817668683776
"318",16677731359996690
"319",16677731359996690
"320",143042593498828064
"321",86759720683687624704
"322",16677731359996690
"323",1.19351787119537e+20
"324",19053466895526690816
"325",1053417838638728704
"326",5282886282619777024
"327",5655497721852482560
"328",96610018214165725184
"329",43861763736150425600
"330",22641431567736893440
"331",57694237979576811520
"332",368290471918233152
"333",368290471918233152
"334",1937415369346281728
"335",1.01263833408901e+20
"336",368290471918233152
"337",14524141634901676032
"338",779458216905388800
"339",21538561372240420864
"340",31972235518404247552
"341",71079023328792150016
"342",368290471918233152
"343",3223792222205343744
"344",368290471918233152
"345",3516766343853217280
"346",87394890333556834304
"347",785273330939773952
"348",22641431567736893440
"349",384034507194016896
"350",34761783348853149696
"351",7.2479826398719e+19
"352",1.17714217355609e+20
"353",12179167497176563712
"354",18586368100842913792
"355",11058120112279453696
"356",579329571221420288
"357",31972235518404247552
"358",22641431567736893440
"359",31132225868619702272
"360",785273330939773952
"361",4231003202663850496
"362",368290471918233152
"363",22138280230634766336
"364",368290471918233152
"365",8720436859012140032
"366",4688574952602570752
"367",46315658805939609600
"368",44542027492963074048
"369",368290471918233152
"370",5156338521773255680
"371",33280153117217525760
"372",65140190040056576
"373",65140190040056576
"374",2014854521503537
"375",2014854521503537
"376",2014854521503537
"377",2014854521503537
"378",2014854521503537
"379",81057067683130851338
"380",161469420152376160
"381",161469420152376160
"382",52597684535322744
"383",171947186189320416
"384",171947186189320416
"385",2014854521503537
"386",2014854521503537
"387",1364212234578908928
"388",85751550453077200
"389",41135553431534510080
"390",4.056939995423e+19
"391",482561176482668544
"392",9374457647374061568
"393",85751550453077200
"394",579329571221420288
"395",579329571221420288
"396",828649046490402432
"397",6416964562406224896
"398",3095041807767034880
"399",368290471918233152
"400",26001033618339278848
"401",368290471918233152
"402",1136192156080909312
"403",5449227637244209152
"404",766474490206198784
"405",413499977458833408
"406",831115795930697984
"407",23798499383221996
"408",92894580277328896
"409",92894580277328896
"410",92894580277328896
"411",1.4354399846856e+19
"412",705656207515609984
"413",13054632332108351488
"414",15519478070193641472
"415",1264578029332944640
"416",1264578029332944640
"417",1264578029332944640
"418",1264578029332944640
"419",1264578029332944640
"420",1264578029332944640
"421",7761487280047518720
"422",1264578029332944640
"423",1264578029332944640
"424",1264578029332944640
"425",1264578029332944640
"426",1264578029332944640
"427",1264578029332944640
"428",1264578029332944640
"429",1264578029332944640
"430",1.012714932233e+20
"431",1264578029332944640
"432",1264578029332944640
"433",1264578029332944640
"434",1264578029332944640
"435",1264578029332944640
"436",1264578029332944640
"437",1264578029332944640
"438",1264578029332944640
"439",1264578029332944640
"440",1264578029332944640
"441",1264578029332944640
"442",1264578029332944640
"443",1264578029332944640
"444",1264578029332944640
"445",1264578029332944640
"446",1264578029332944640
"447",1264578029332944640
"448",1264578029332944640
"449",1264578029332944640
"450",1264578029332944640
"451",1264578029332944640
"452",1264578029332944640
"453",1264578029332944640
"454",1264578029332944640
"455",1264578029332944640
"456",1264578029332944640
"457",1264578029332944640
"458",1264578029332944640
"459",1264578029332944640
"460",1264578029332944640
"461",1.13814733604582e+20
"462",1264578029332944640
"463",37836373463359389696
"464",2.509743483135e+19
"465",71896904552027586560
"466",2637740357749173760
"467",5.9319554567026e+19
"468",8859183225269168128
"469",1264578029332944640
"470",1264578029332944640
"471",89937772705185792000
"472",1264578029332944640
"473",1264578029332944640
"474",1347235678776815360
"475",49833936549315805184
"476",79382420844322799616
"477",81980190660538236938
"478",1264578029332944640
"479",1264578029332944640
"480",1264578029332944640
"481",1264578029332944640
"482",1264578029332944640
"483",1535227312088059648
"484",1.04604036102078e+20
"485",69008996456071856138
"486",1264578029332944640
"487",1264578029332944640
"488",1264578029332944640
"489",1264578029332944640
"490",1264578029332944640
"491",1264578029332944640
"492",1264578029332944640
"493",1264578029332944640
"494",1264578029332944640
"495",1264578029332944640
"496",1264578029332944640
"497",1264578029332944640
"498",1264578029332944640
"499",1264578029332944640
"500",1264578029332944640
"501",1264578029332944640
"502",1264578029332944640
"503",1264578029332944640
"504",1264578029332944640
"505",1264578029332944640
"506",1264578029332944640
"507",1264578029332944640
"508",1264578029332944640
"509",1264578029332944640
"510",2900817326062239744
"511",1264578029332944640
"512",1264578029332944640
"513",1264578029332944640
"514",1264578029332944640
"515",1264578029332944640
"516",1264578029332944640
"517",1264578029332944640
"518",1264578029332944640
"519",1264578029332944640
"520",1264578029332944640
"521",1264578029332944640
"522",1832981398673662720
"523",1264578029332944640
"524",1264578029332944640
"525",1264578029332944640
"526",1264578029332944640
"527",1264578029332944640
"528",1264578029332944640
"529",1264578029332944640
"530",1264578029332944640
"531",1264578029332944640
"532",1264578029332944640
"533",1264578029332944640
"534",1264578029332944640
"535",1264578029332944640
"536",1264578029332944640
"537",1264578029332944640
"538",1264578029332944640
"539",1264578029332944640
"540",1264578029332944640
"541",4082957363331611648
"542",2384018253893328896
"543",1264578029332944640
"544",1264578029332944640
"545",1264578029332944640
"546",92535416062879416320
"547",74539185515952816138
"548",1264578029332944640
"549",64552330675757932544
"550",1264578029332944640
"551",47486767134169497600
"552",1264578029332944640
"553",1264578029332944640
"554",89937772705185792000
"555",1264578029332944640
"556",1264578029332944640
"557",1264578029332944640
"558",1264578029332944640
"559",1264578029332944640
"560",1264578029332944640
"561",1264578029332944640
"562",1264578029332944640
"563",1264578029332944640
"564",1264578029332944640
"565",1264578029332944640
"566",1264578029332944640
"567",3150583617159658496
"568",865046838721028224
"569",7277645900231945216
"570",236257030227958624
"571",76175948394433184
"572",24459953699527839744
"573",9482677130343587840
"574",649288923025091840
"575",41502070167413669888
"576",19518309075511603200
"577",11132568401183635456
"578",7197831842479221760
"579",7676946106880440320
"580",9605128103215468544
"581",15262523249459859456
"582",22825881697227399168
"583",5722187300418102272
"584",1507251126360347904
"585",4910420908956304384
"586",4258479156911257600
"587",6319700553258060800
"588",6390911897813158912
"589",76175948394433184
"590",36709960320800108544
"591",825906880808481408
"592",41300697567884189696
"593",1959912201725783552
"594",459456876031488512
"595",6173031785139240960
"596",2989507058492301
"597",2212961296938835968
"598",3451537771115532288
"599",9315227247445223424
"600",12631086987956312064
"601",4915431928205960192
"602",2235037333890242560
"603",1750636635600099
"604",196845896991194848
"605",8193237288151695360
"606",71389936817026277376
"607",1750636635600099
"608",19170736696383188992
"609",32160695720584609792
"610",2174936991397150208
"611",10392966824614318080
"612",1750636635600099
"613",1750636635600099
"614",3641938758075491328
"615",4687416048438604800
"616",6126587233895303168
"617",521480632679505792
"618",5648395977135408128
"619",2578408405327179264
"620",533748620204182272
"621",1361645943815705600
"622",13447766734387265536
