"","influenza_av"
"1",3.25589706933524
"2",3.58899213724089
"3",3.71979985704074
"4",2.92280200142959
"5",3.05075053609721
"6",3.05075053609721
"7",3.75625446747677
"8",2.8927805575411
"9",3.85346676197284
"10",3.1879914224446
"11",3.12080057183703
"12",3.25232308791994
"13",3.61829878484632
"14",3.75625446747677
"15",3.45961401000715
"16",3.85346676197284
"17",3.75625446747677
"18",2.86204431736955
"19",3.56111508220157
"20",3.36954967834167
"21",3.23659756969264
"22",3.53681200857756
"23",3.85346676197284
"24",2.94996426018585
"25",3.56111508220157
"26",3.27662616154396
"27",2.74910650464618
"28",3.84203002144389
"29",3.69406719085061
"30",3.41386704789135
"31",3.69406719085061
"32",3.06218727662616
"33",3.75625446747677
"34",3.168691922802
"35",3.64188706218728
"36",3.75625446747677
"37",2.87991422444603
"38",3.39242315939957
"39",3.85346676197284
"40",3.69406719085061
"41",3.69406719085061
"42",3.90278770550393
"43",3.85346676197284
"44",3.85346676197284
"45",3.52108649035025
"46",3.49749821300929
"47",3.85346676197284
"48",3.22373123659757
"49",3.64188706218728
"50",3.90278770550393
"51",3.64188706218728
"52",3.85346676197284
"53",3.12866333095068
"54",3.85346676197284
"55",3.64188706218728
"56",3.15368120085776
"57",2.67905646890636
"58",3.00929235167977
"59",2.70621872766262
"60",3.62759113652609
"61",3.30879199428163
"62",2.8470335954253
"63",3.70693352394568
"64",3.70693352394568
"65",3.70693352394568
"66",3.70693352394568
"67",2.36954967834167
"68",3.13152251608292
"69",2.75196568977841
"70",3.85346676197284
"71",3.73338098641887
"72",3.831308077198
"73",3.831308077198
"74",3.831308077198
"75",2.56182987848463
"76",3.75625446747677
"77",2.78984989278056
"78",3.76125804145818
"79",2.62902072909221
"80",3.57255182273052
"81",2.62759113652609
"82",3.78341672623302
"83",3.78341672623302
"84",3.78341672623302
"85",3.61401000714796
"86",3.61401000714796
"87",3.61401000714796
"88",3.59542530378842
"89",3.61401000714796
"90",3.61829878484632
"91",3.78341672623302
"92",3.65618298784846
"93",3.22730521801287
"94",2.96283059328091
"95",3.69406719085061
"96",3.65618298784846
"97",3.65618298784846
"98",3.53967119370979
"99",3.69406719085061
"100",2.79413867047891
"101",3.65618298784846
"102",2.7662616154396
"103",3.01215153681201
"104",3.53967119370979
"105",3.5746962115797
"106",3.5746962115797
"107",3.5746962115797
"108",3.65618298784846
"109",3.5746962115797
"110",3.08363116511794
"111",3.53967119370979
"112",3.53967119370979
"113",2.80343102215868
"114",3.5746962115797
"115",3.58041458184417
"116",3.81343817012152
"117",3.17583988563259
"118",3.83845604002859
"119",2.72837741243746
"120",3.58041458184417
"121",3.62830593280915
"122",3.81343817012152
"123",3.81343817012152
"124",3.81343817012152
"125",3.81343817012152
"126",3.81343817012152
"127",3.81343817012152
"128",3.81343817012152
"129",3.81343817012152
"130",3.81343817012152
"131",3.81343817012152
"132",3.81343817012152
"133",3.60400285918513
"134",3.29378127233738
"135",3.5518227305218
"136",3.85346676197284
"137",2.95925661186562
"138",2.42101501072194
"139",2.90207290922087
"140",2.9313795568263
"141",2.49678341672623
"142",3.1651179413867
"143",3.22516082916369
"144",3.69406719085061
"145",3.33666904932094
"146",3.85346676197284
"147",3.69406719085061
"148",3.69406719085061
"149",3.24303073624017
"150",3.65618298784846
"151",3.64188706218728
"152",3.75625446747677
"153",3.71979985704074
"154",3.64188706218728
"155",3.29235167977127
"156",2.84417441029307
"157",3.85346676197284
"158",3.97212294496069
"159",3.50393137955683
"160",3.85346676197284
"161",3.19585418155826
"162",3.85346676197284
"163",3.71979985704074
"164",3.97212294496069
"165",3.85346676197284
"166",3.75625446747677
"167",3.85346676197284
"168",3.29235167977127
"169",3.64188706218728
"170",3.29235167977127
"171",3.69406719085061
"172",3.83845604002859
"173",3.5746962115797
"174",3.85346676197284
"175",3.64188706218728
"176",3.33809864188706
"177",3.74624731951394
"178",4.33452466047177
"179",3.40457469621158
"180",2.91136526090064
"181",2.89778413152252
"182",3.3445318084346
"183",3.19799857040743
"184",2.79842744817727
"185",3.09578270192995
"186",3.51751250893495
"187",2.92637598284489
"188",2.92280200142959
"189",2.92065761258041
"190",3.33452466047177
"191",3.69406719085061
"192",2.6976411722659
"193",3.32308791994282
"194",3.65618298784846
"195",2.89921372408863
"196",2.89063616869192
"197",2.79699785561115
"198",2.57255182273052
"199",2.79127948534668
"200",2.92637598284489
"201",3.40886347390994
"202",2.93209435310936
"203",2.79127948534668
"204",2.7047891350965
"205",2.65189421015011
"206",2.80128663330951
"207",2.915654038599
"208",2.92137240886347
"209",2.92280200142959
"210",2.7626876340243
"211",3.65618298784846
"212",2.7891350964975
"213",2.88277340957827
"214",3.33095067905647
"215",2.91136526090064
"216",2.84989278055754
"217",3.18012866333095
"218",3.47390993566833
"219",2.94924946390279
"220",2.80986418870622
"221",2.70192994996426
"222",2.97998570407434
"223",3.34381701215154
"224",3.59185132237312
"225",2.56040028591851
"226",2.78984989278056
"227",2.7891350964975
"228",2.90564689063617
"229",2.87562544674768
"230",2.97355253752681
"231",2.7891350964975
"232",3.15439599714081
"233",2.92351679771265
"234",3.63902787705504
"235",2.9614010007148
"236",2.8120085775554
"237",3.04360257326662
"238",2.96711937097927
"239",3.38384560400286
"240",3.69406719085061
"241",2.92137240886347
"242",2.78055754110079
"243",2.60471765546819
"244",3.60400285918513
"245",2.69406719085061
"246",2.9192280200143
"247",3.63759828448892
"248",2.79127948534668
"249",2.83202287348106
"250",2.65475339528234
"251",2.7855611150822
"252",3.13938527519657
"253",2.94710507505361
"254",2.90421729807005
"255",2.72265904217298
"256",2.99857040743388
"257",3.10007147962831
"258",2.90278770550393
"259",2.90993566833452
"260",3.17726947819871
"261",2.9120800571837
"262",3.92280200142959
"263",3.07505360972123
"264",3.07505360972123
"265",4.04145818441744
"266",2.90993566833452
"267",3.28091493924232
"268",2.78413152251608
"269",2.92065761258041
"270",2.90421729807005
"271",3.92280200142959
"272",3.04717655468192
"273",2.92065761258041
"274",2.87276626161544
"275",2.90564689063617
"276",3.85346676197284
"277",3.06218727662616
"278",2.87634024303074
"279",3.92280200142959
"280",2.90421729807005
"281",3.29449606862044
"282",2.9120800571837
"283",3.92280200142959
